vmf/direction_dim_14_hist,vmf/direction_dim_0_hist,vmf/mean_direction,vmf/direction_dim_6_hist,losses/int_value_loss,vmf/direction_dim_13_hist,charts/max_traj_len,returns/int_advantages,vmf/direction_dim_12_hist,charts/episode_return,vmf/direction_dim_11_hist,vmf/direction_dim_1_hist,charts/game_score,rewards/raw_game_rewards_min,_timestamp,rewards/rewards_mean,charts/SPS,charts/learning_rate,rewards/num_envs_with_pos_rews,charts/vmf_kappa,charts/traj_len,rewards/intrinsic_rewards_mean,rewards/raw_game_rewards_mean,charts/min_traj_len,charts/iterations,vmf/direction_dim_5_hist,returns/values_int,returns/advantages,charts/time_per_it,rewards/raw_game_rewards_max,returns/ext_advantages,losses/entropy,losses/ext_value_loss,_step,charts/returns_hist,vmf/direction_dim_3_hist,rewards/rewards_max,losses/approx_kl,vmf/direction_dim_15_hist,charts/min_game_score,losses/policy_loss,rewards/rewards_min,charts/success_rate,rewards/rewards_for_plot,vmf/direction_dim_9_hist,vmf/direction_dim_10_hist,losses/old_approx_kl,rewards/intrinsic_rewards_max,rewards/intrinsic_rewards_min,charts/e1_mu_angle,vmf/direction_dim_2_hist,losses/all_loss,_runtime,charts/max_game_score,losses/clipfrac,vmf/direction_dim_4_hist,vmf/direction_dim_7_hist,vmf/direction_dim_8_hist,returns/values_ext,returns/ret_ext,returns/ret_int
,,,,,,,,,510.0,,,,,1733527474.7112477,,,,,21.89481094479561,,,,,,,,,,,,,,2315264.0,,,,,,,,,1.0,,,,,,,,,,2796.689232648,,,,,,,,
,,,,,,,,,550.0,,,,,1733527518.3064642,,,,,22.09374412894249,,,,,,,,,,,,,,2351872.0,,,,,,,,,1.0,,,,,,,,,,2840.525465533,,,,,,,,
,,,,,,,,,540.0,,,,,1733527681.62744,,,,,22.24143147468567,,,,,,,,,,,,,,2491264.0,,,,,,,,,1.0,,,,,,,,,,3005.394490437,,,,,,,,
,,,,,,,,,470.0,,,,,1733527810.9649448,,,,,22.12037667632103,,,,,,,,,,,,,,2603648.0,,,,,,,,,1.0,,,,,,,,,,3132.705940088,,,,,,,,
,,,,,,,,,510.0,,,,,1733527847.0519845,,,,,22.301994413137436,,,,,,,,,,,,,,2635136.0,,,,,,,,,1.0,,,,,,,,,,3169.240973656,,,,,,,,
,,,,,,,,,520.0,,,,,1733527852.907742,,,,,22.301994413137436,,,,,,,,,,,,,,2638080.0,,,,,,,,,1.0,,,,,,,,,,3174.860837018,,,,,,,,
,,,,,,,,,400.0,,,,,1733527854.4977884,,,,,22.379005551338196,,,,,,,,,,,,,,2639872.0,,,,,,,,,1.0,,,,,,,,,,3176.242433771,,,,,,,,
,,,,,,,,,570.0,,,,,1733527931.7038913,,,,,22.405841499567032,,,,,,,,,,,,,,2706944.0,,,,,,,,,1.0,,,,,,,,,,3253.560595201,,,,,,,,
,,,,,,,,,460.0,,,,,1733527979.2894208,,,,,22.53101259469986,,,,,,,,,,,,,,2748928.0,,,,,,,,,1.0,,,,,,,,,,3301.379442393,,,,,,,,
,,,,,,,,,1100.0,,,,,1733528069.2850053,,,,,23.0491241812706,,,,,,,,,,,,,,2825088.0,,,,,,,,,1.0,,,,,,,,,,3391.596506234,,,,,,,,
,,,,,,,,,1650.0,,,,,1733528084.4219882,,,,,23.053564131259918,,,,,,,,,,,,,,2837120.0,,,,,,,,,1.0,,,,,,,,,,3407.116538655,,,,,,,,
,,,,,,,,,580.0,,,,,1733528118.0088627,,,,,23.053564131259918,,,,,,,,,,,,,,2866432.0,,,,,,,,,1.0,,,,,,,,,,3442.207435114,,,,,,,,
,,,,0.01663989946246147,,1422.0,0.004941307939589024,,,,,864.6875,0.0,1733528199.7746875,0.00438495259732008,840.0,0.0003,114.0,,773.0859375,0.008752989582717419,0.0782470703125,0.0,179.0,,0.506169319152832,0.003007317427545786,19.952540397644043,1.0,0.002957904012873769,2.228484630584717,0.004344932269304991,2932736.0,,,0.056039828807115555,0.0032075464259833097,,0.0,-0.004823913332074881,0.0,,0.0782470703125,,,0.0028527327813208103,0.05043066665530205,-0.044311486184597015,88.8076045182151,,-0.016616342589259148,3521.900151062,2690.0,0.125213623046875,,,,0.5195400714874268,0.5224980115890503,0.5111106038093567
,,,,,,,,,480.0,,,,,1733528202.3448322,,,,,23.550574779510498,,,,,,,,,,,,,,2934528.0,,,,,,,,,1.0,,,,,,,,,,3525.3779864,,,,,,,,
,,,,,,,,,1120.0,,,,,1733528249.415552,,,,,23.566804826259613,,,,,,,,,,,,,,2974336.0,,,,,,,,,1.0,,,,,,,,,,3571.28470815,,,,,,,,
,,,,,,,,,1140.0,,,,,1733528299.777532,,,,,23.51444721221924,,,,,,,,,,,,,,3016960.0,,,,,,,,,1.0,,,,,,,,,,3622.245641685,,,,,,,,
,,,,,,,,,610.0,,,,,1733528330.402271,,,,,23.486640751361847,,,,,,,,,,,,,,3043584.0,,,,,,,,,1.0,,,,,,,,,,3652.169990991,,,,,,,,
