losses/all_loss,returns/int_advantages,charts/time_per_it,charts/iqm_upper,losses/clipfrac,returns/ext_advantages,losses/approx_kl,losses/int_value_loss,losses/policy_loss,losses/entropy,charts/iqm_lower,_runtime,rewards/rewards_mean,charts/iterations,returns/values_int,losses/ext_value_loss,rewards/intrinsic_rewards_mean,losses/old_approx_kl,returns/ret_int,charts/max_traj_len,losses/fwd_loss,charts/SPS,charts/game_score,returns/values_ext,returns/advantages,rewards/rewards_min,charts/iqm,charts/game_score_upper,rewards/intrinsic_rewards_min,charts/learning_rate,_timestamp,charts/traj_len,charts/game_score_lower,rewards/intrinsic_rewards_max,charts/min_traj_len,rewards/rewards_max,charts/episode_return,charts/max_game_score,charts/min_game_score,_step,returns/ret_ext,rewards/num_envs_with_pos_rews
,,,,,,,,,,,4609,,,,,,,,,,,,,,,,,,,1732316837.0,,,,,,430.0,,,6436864.0,,
,,,,,,,,,,,4655,,,,,,,,,,,,,,,,,,,1732316883.0,,,,,,400.0,,,6512512.0,,
,,,,,,,,,,,4686,,,,,,,,,,,,,,,,,,,1732316914.0,,,,,,900.0,,,6569600.0,,
,,,,,,,,,,,4722,,,,,,,,,,,,,,,,,,,1732316950.0,,,,,,460.0,,,6630016.0,,
,,,,,,,,,,,4722,,,,,,,,,,,,,,,,,,,1732316950.0,,,,,,380.0,,,6630400.0,,
,,,,,,,,,,,4853,,,,,,,,,,,,,,,,,,,1732317081.0,,,,,,520.0,,,6859008.0,,
,,,,,,,,,,,4854,,,,,,,,,,,,,,,,,,,1732317082.0,,,,,,340.0,,,6861312.0,,
0.07297728955745697,-0.0053945560939610004,9.475360870361328,0.03859045964434267,0.043701171875,-0.006795207504183054,0.0008548026089556515,0.0031373510137200356,-0.0027647195383906364,1.2893794775009155,0.030889374302526123,4860,0.0057922713458538055,419.0,1.09578275680542,0.010441540740430355,0.010570889338850975,-0.0003815646341536194,1.0903880596160889,960.0,0.07024194300174713,1415.0,544.21875,0.5966857671737671,-0.018984969705343246,0.0,0.0334035638197655,583.830078125,0.0004440709308255464,0.0001,1732317088.0,671.296875,508.73828125,0.07153573632240295,0.0,0.08869212120771408,,1030.0,0.0,6864896.0,0.5898905992507935,98.0
,,,,,,,,,,,4940,,,,,,,,,,,,,,,,,,,1732317168.0,,,,,,460.0,,,7011840.0,,
,,,,,,,,,,,4947,,,,,,,,,,,,,,,,,,,1732317175.0,,,,,,480.0,,,7020928.0,,
