"Step","Score","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MIN","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MAX"
"5914624","1850.78125","1850.78125","1850.78125"
"5931008","1841.40625","1841.40625","1841.40625"
"5947392","1802.34375","1802.34375","1802.34375"
"5963776","1770.3125","1770.3125","1770.3125"
"5980160","1771.875","1771.875","1771.875"
"5996544","1758.59375","1758.59375","1758.59375"
"6012928","1845.3125","1845.3125","1845.3125"
"6029312","1857.03125","1857.03125","1857.03125"
"6045696","1851.5625","1851.5625","1851.5625"
"6062080","1879.6875","1879.6875","1879.6875"
"6078464","1948.4375","1948.4375","1948.4375"
"6094848","1910.9375","1910.9375","1910.9375"
"6111232","1917.1875","1917.1875","1917.1875"
"6127616","1958.59375","1958.59375","1958.59375"
"6144000","1925.78125","1925.78125","1925.78125"
"6160384","1932.8125","1932.8125","1932.8125"
"6176768","1903.90625","1903.90625","1903.90625"
"6193152","1907.8125","1907.8125","1907.8125"
"6209536","1975","1975","1975"
"6225920","1957.8125","1957.8125","1957.8125"
"6242304","1975","1975","1975"
"6258688","2016.40625","2016.40625","2016.40625"
"6275072","1970.3125","1970.3125","1970.3125"
"6291456","1943.75","1943.75","1943.75"
"6307840","1982.8125","1982.8125","1982.8125"
"6324224","1930.46875","1930.46875","1930.46875"
"6340608","1879.6875","1879.6875","1879.6875"
"6356992","1955.46875","1955.46875","1955.46875"
"6373376","1942.96875","1942.96875","1942.96875"
"6389760","1903.125","1903.125","1903.125"
"6406144","1911.71875","1911.71875","1911.71875"
"6422528","1892.96875","1892.96875","1892.96875"
"6438912","1853.90625","1853.90625","1853.90625"
"6455296","1876.5625","1876.5625","1876.5625"
"6471680","1864.84375","1864.84375","1864.84375"
"6488064","1891.40625","1891.40625","1891.40625"
"6504448","1838.28125","1838.28125","1838.28125"
"6520832","1932.03125","1932.03125","1932.03125"
"6537216","2024.21875","2024.21875","2024.21875"
"6553600","2042.96875","2042.96875","2042.96875"
"6569984","2067.96875","2067.96875","2067.96875"
"6586368","2171.875","2171.875","2171.875"
"6602752","2139.84375","2139.84375","2139.84375"
"6619136","2093.75","2093.75","2093.75"
"6635520","2114.0625","2114.0625","2114.0625"
"6651904","2117.96875","2117.96875","2117.96875"
"6668288","2068.75","2068.75","2068.75"
"6684672","2077.34375","2077.34375","2077.34375"
"6701056","2083.59375","2083.59375","2083.59375"
"6717440","2123.4375","2123.4375","2123.4375"
"6733824","2115.625","2115.625","2115.625"
"6750208","2252.34375","2252.34375","2252.34375"
"6766592","2271.09375","2271.09375","2271.09375"
"6782976","2307.03125","2307.03125","2307.03125"
"6799360","2308.59375","2308.59375","2308.59375"
"6815744","2302.34375","2302.34375","2302.34375"
"6832128","2337.5","2337.5","2337.5"
"6848512","2308.59375","2308.59375","2308.59375"
"6864896","2350.78125","2350.78125","2350.78125"
"6881280","2401.5625","2401.5625","2401.5625"
"6897664","2364.0625","2364.0625","2364.0625"
"6914048","2354.6875","2354.6875","2354.6875"
"6930432","2351.5625","2351.5625","2351.5625"
"6946816","2430.46875","2430.46875","2430.46875"
"6963200","2382.8125","2382.8125","2382.8125"
"6979584","2460.9375","2460.9375","2460.9375"
"6995968","2571.09375","2571.09375","2571.09375"
"7012352","2610.15625","2610.15625","2610.15625"
"7028736","2592.1875","2592.1875","2592.1875"
"7045120","2581.25","2581.25","2581.25"
"7061504","2746.875","2746.875","2746.875"
"7077888","2715.625","2715.625","2715.625"
"7094272","2721.875","2721.875","2721.875"
"7110656","2760.15625","2760.15625","2760.15625"
"7127040","2685.15625","2685.15625","2685.15625"
"7143424","2673.4375","2673.4375","2673.4375"
"7159808","2650.78125","2650.78125","2650.78125"
"7176192","2667.1875","2667.1875","2667.1875"
"7192576","2651.5625","2651.5625","2651.5625"
"7208960","2538.28125","2538.28125","2538.28125"
"7225344","2703.90625","2703.90625","2703.90625"
"7241728","2639.0625","2639.0625","2639.0625"
"7258112","2607.03125","2607.03125","2607.03125"
"7274496","2561.71875","2561.71875","2561.71875"
"7290880","2589.0625","2589.0625","2589.0625"
"7307264","2560.15625","2560.15625","2560.15625"
"7323648","2552.34375","2552.34375","2552.34375"
"7340032","2585.15625","2585.15625","2585.15625"
"7356416","2504.6875","2504.6875","2504.6875"
"7372800","2459.375","2459.375","2459.375"
"7389184","2561.71875","2561.71875","2561.71875"
"7405568","2610.9375","2610.9375","2610.9375"
"7421952","2650","2650","2650"
"7438336","2648.4375","2648.4375","2648.4375"
"7454720","2657.03125","2657.03125","2657.03125"
"7471104","2657.8125","2657.8125","2657.8125"
"7487488","2714.0625","2714.0625","2714.0625"
"7503872","2730.46875","2730.46875","2730.46875"
"7520256","2701.5625","2701.5625","2701.5625"
"7536640","2707.8125","2707.8125","2707.8125"
"7553024","2692.96875","2692.96875","2692.96875"
"7569408","2649.21875","2649.21875","2649.21875"
"7585792","2707.8125","2707.8125","2707.8125"
"7602176","2721.875","2721.875","2721.875"
"7618560","2589.0625","2589.0625","2589.0625"
"7634944","2617.1875","2617.1875","2617.1875"
"7651328","2587.5","2587.5","2587.5"
"7667712","2659.375","2659.375","2659.375"
"7684096","2630.46875","2630.46875","2630.46875"
"7700480","2617.1875","2617.1875","2617.1875"
"7716864","2627.34375","2627.34375","2627.34375"
"7733248","2682.03125","2682.03125","2682.03125"
"7749632","2646.09375","2646.09375","2646.09375"
"7766016","2604.6875","2604.6875","2604.6875"
"7782400","2510.15625","2510.15625","2510.15625"
"7798784","2527.34375","2527.34375","2527.34375"
"7815168","2567.1875","2567.1875","2567.1875"
"7831552","2576.5625","2576.5625","2576.5625"
"7847936","2573.4375","2573.4375","2573.4375"
"7864320","2642.1875","2642.1875","2642.1875"
"7880704","2645.3125","2645.3125","2645.3125"
"7897088","2685.15625","2685.15625","2685.15625"
"7913472","2677.34375","2677.34375","2677.34375"
"7929856","2806.25","2806.25","2806.25"
"7946240","2845.3125","2845.3125","2845.3125"
"7962624","2843.75","2843.75","2843.75"
"7979008","2869.53125","2869.53125","2869.53125"
"7995392","2917.96875","2917.96875","2917.96875"
"8011776","2882.03125","2882.03125","2882.03125"
"8028160","2944.53125","2944.53125","2944.53125"
"8044544","2874.21875","2874.21875","2874.21875"
"8060928","2935.9375","2935.9375","2935.9375"
"8077312","2955.46875","2955.46875","2955.46875"
"8093696","2932.03125","2932.03125","2932.03125"
"8110080","2871.875","2871.875","2871.875"
"8126464","2890.625","2890.625","2890.625"
"8142848","2949.21875","2949.21875","2949.21875"
"8159232","2916.40625","2916.40625","2916.40625"
"8175616","2976.5625","2976.5625","2976.5625"
"8192000","2940.625","2940.625","2940.625"
"8208384","2903.90625","2903.90625","2903.90625"
"8224768","3012.5","3012.5","3012.5"
"8241152","2956.25","2956.25","2956.25"
"8257536","2971.875","2971.875","2971.875"
"8273920","3099.21875","3099.21875","3099.21875"
"8290304","3121.09375","3121.09375","3121.09375"
"8306688","3125","3125","3125"
"8323072","3139.84375","3139.84375","3139.84375"
"8339456","3283.59375","3283.59375","3283.59375"
"8355840","3376.5625","3376.5625","3376.5625"
"8372224","3346.09375","3346.09375","3346.09375"
"8388608","3412.5","3412.5","3412.5"
"8404992","3331.25","3331.25","3331.25"
"8421376","3396.875","3396.875","3396.875"
"8437760","3387.5","3387.5","3387.5"
"8454144","3330.46875","3330.46875","3330.46875"
"8470528","3389.0625","3389.0625","3389.0625"
"8486912","3461.71875","3461.71875","3461.71875"
"8503296","3467.96875","3467.96875","3467.96875"
"8519680","3415.625","3415.625","3415.625"
