"Step","Score","StarGunner-v5__ppo_noisy_net - charts/game_score__MIN","StarGunner-v5__ppo_noisy_net - charts/game_score__MAX"
"4964352","1844.53125","1844.53125","1844.53125"
"4980736","1885.9375","1885.9375","1885.9375"
"4997120","1912.5","1912.5","1912.5"
"5013504","1927.34375","1927.34375","1927.34375"
"5029888","1925","1925","1925"
"5046272","1946.09375","1946.09375","1946.09375"
"5062656","1939.0625","1939.0625","1939.0625"
"5079040","1999.21875","1999.21875","1999.21875"
"5095424","2017.96875","2017.96875","2017.96875"
"5111808","2007.8125","2007.8125","2007.8125"
"5128192","2020.3125","2020.3125","2020.3125"
"5144576","2048.4375","2048.4375","2048.4375"
"5160960","2054.6875","2054.6875","2054.6875"
"5177344","2028.90625","2028.90625","2028.90625"
"5193728","2096.09375","2096.09375","2096.09375"
"5210112","2088.28125","2088.28125","2088.28125"
"5226496","2084.375","2084.375","2084.375"
"5242880","2056.25","2056.25","2056.25"
"5259264","2046.875","2046.875","2046.875"
"5275648","2000","2000","2000"
"5292032","1971.09375","1971.09375","1971.09375"
"5308416","2048.4375","2048.4375","2048.4375"
"5324800","2057.8125","2057.8125","2057.8125"
"5341184","2107.03125","2107.03125","2107.03125"
"5357568","2129.6875","2129.6875","2129.6875"
"5373952","2164.84375","2164.84375","2164.84375"
"5390336","2150","2150","2150"
"5406720","2138.28125","2138.28125","2138.28125"
"5423104","2191.40625","2191.40625","2191.40625"
"5439488","2166.40625","2166.40625","2166.40625"
"5455872","2174.21875","2174.21875","2174.21875"
"5472256","2191.40625","2191.40625","2191.40625"
"5488640","2128.125","2128.125","2128.125"
"5505024","2096.09375","2096.09375","2096.09375"
"5521408","2072.65625","2072.65625","2072.65625"
"5537792","2045.3125","2045.3125","2045.3125"
"5554176","2031.25","2031.25","2031.25"
"5570560","2050.78125","2050.78125","2050.78125"
"5586944","2128.125","2128.125","2128.125"
"5603328","2100","2100","2100"
"5619712","2117.96875","2117.96875","2117.96875"
"5636096","2125","2125","2125"
"5652480","2171.09375","2171.09375","2171.09375"
"5668864","2210.15625","2210.15625","2210.15625"
"5685248","2160.9375","2160.9375","2160.9375"
"5701632","2177.34375","2177.34375","2177.34375"
"5718016","2194.53125","2194.53125","2194.53125"
"5734400","2103.125","2103.125","2103.125"
"5750784","2091.40625","2091.40625","2091.40625"
"5767168","2043.75","2043.75","2043.75"
"5783552","2116.40625","2116.40625","2116.40625"
"5799936","2036.71875","2036.71875","2036.71875"
"5816320","2078.125","2078.125","2078.125"
"5832704","2064.84375","2064.84375","2064.84375"
"5849088","2120.3125","2120.3125","2120.3125"
"5865472","2091.40625","2091.40625","2091.40625"
"5881856","2156.25","2156.25","2156.25"
"5898240","2145.3125","2145.3125","2145.3125"
"5914624","2148.4375","2148.4375","2148.4375"
"5931008","2259.375","2259.375","2259.375"
"5947392","2275.78125","2275.78125","2275.78125"
"5963776","2274.21875","2274.21875","2274.21875"
"5980160","2300","2300","2300"
"5996544","2340.625","2340.625","2340.625"
"6012928","2266.40625","2266.40625","2266.40625"
"6029312","2214.84375","2214.84375","2214.84375"
"6045696","2218.75","2218.75","2218.75"
"6062080","2221.09375","2221.09375","2221.09375"
"6078464","2211.71875","2211.71875","2211.71875"
"6094848","2260.9375","2260.9375","2260.9375"
"6111232","2272.65625","2272.65625","2272.65625"
"6127616","2252.34375","2252.34375","2252.34375"
"6144000","2289.84375","2289.84375","2289.84375"
"6160384","2339.0625","2339.0625","2339.0625"
"6176768","2332.03125","2332.03125","2332.03125"
"6193152","2346.09375","2346.09375","2346.09375"
"6209536","2391.40625","2391.40625","2391.40625"
"6225920","2416.40625","2416.40625","2416.40625"
"6242304","2414.84375","2414.84375","2414.84375"
"6258688","2295.3125","2295.3125","2295.3125"
"6275072","2196.875","2196.875","2196.875"
"6291456","2167.1875","2167.1875","2167.1875"
"6307840","2083.59375","2083.59375","2083.59375"
"6324224","2111.71875","2111.71875","2111.71875"
"6340608","2166.40625","2166.40625","2166.40625"
"6356992","2206.25","2206.25","2206.25"
"6373376","2240.625","2240.625","2240.625"
"6389760","2281.25","2281.25","2281.25"
"6406144","2279.6875","2279.6875","2279.6875"
"6422528","2273.4375","2273.4375","2273.4375"
"6438912","2317.96875","2317.96875","2317.96875"
"6455296","2321.875","2321.875","2321.875"
"6471680","2284.375","2284.375","2284.375"
"6488064","2293.75","2293.75","2293.75"
"6504448","2298.4375","2298.4375","2298.4375"
"6520832","2353.90625","2353.90625","2353.90625"
"6537216","2382.03125","2382.03125","2382.03125"
"6553600","2366.40625","2366.40625","2366.40625"
"6569984","2338.28125","2338.28125","2338.28125"
"6586368","2277.34375","2277.34375","2277.34375"
"6602752","2275.78125","2275.78125","2275.78125"
"6619136","2233.59375","2233.59375","2233.59375"
"6635520","2295.3125","2295.3125","2295.3125"
"6651904","2378.90625","2378.90625","2378.90625"
"6668288","2428.125","2428.125","2428.125"
"6684672","2433.59375","2433.59375","2433.59375"
"6701056","2451.5625","2451.5625","2451.5625"
"6717440","2414.84375","2414.84375","2414.84375"
"6733824","2482.03125","2482.03125","2482.03125"
"6750208","2517.1875","2517.1875","2517.1875"
"6766592","2484.375","2484.375","2484.375"
"6782976","2449.21875","2449.21875","2449.21875"
"6799360","2486.71875","2486.71875","2486.71875"
"6815744","2463.28125","2463.28125","2463.28125"
"6832128","2443.75","2443.75","2443.75"
"6848512","2427.34375","2427.34375","2427.34375"
"6864896","2477.34375","2477.34375","2477.34375"
"6881280","2555.46875","2555.46875","2555.46875"
"6897664","2569.53125","2569.53125","2569.53125"
"6914048","2575","2575","2575"
"6930432","2571.09375","2571.09375","2571.09375"
"6946816","2646.875","2646.875","2646.875"
"6963200","2665.625","2665.625","2665.625"
"6979584","2593.75","2593.75","2593.75"
"6995968","2582.8125","2582.8125","2582.8125"
"7012352","2577.34375","2577.34375","2577.34375"
"7028736","2548.4375","2548.4375","2548.4375"
"7045120","2468.75","2468.75","2468.75"
"7061504","2459.375","2459.375","2459.375"
"7077888","2427.34375","2427.34375","2427.34375"
"7094272","2492.1875","2492.1875","2492.1875"
"7110656","2470.3125","2470.3125","2470.3125"
"7127040","2540.625","2540.625","2540.625"
"7143424","2578.90625","2578.90625","2578.90625"
"7159808","2528.90625","2528.90625","2528.90625"
"7176192","2571.09375","2571.09375","2571.09375"
"7192576","2477.34375","2477.34375","2477.34375"
"7208960","2453.125","2453.125","2453.125"
"7225344","2412.5","2412.5","2412.5"
"7241728","2392.96875","2392.96875","2392.96875"
"7258112","2426.5625","2426.5625","2426.5625"
"7274496","2532.03125","2532.03125","2532.03125"
"7290880","2487.5","2487.5","2487.5"
"7307264","2503.90625","2503.90625","2503.90625"
"7323648","2468.75","2468.75","2468.75"
"7340032","2383.59375","2383.59375","2383.59375"
"7356416","2341.40625","2341.40625","2341.40625"
"7372800","2340.625","2340.625","2340.625"
"7389184","2259.375","2259.375","2259.375"
"7405568","2195.3125","2195.3125","2195.3125"
"7421952","2182.8125","2182.8125","2182.8125"
"7438336","2224.21875","2224.21875","2224.21875"
"7454720","2221.09375","2221.09375","2221.09375"
"7471104","2318.75","2318.75","2318.75"
"7487488","2292.96875","2292.96875","2292.96875"
"7503872","2344.53125","2344.53125","2344.53125"
"7520256","2332.8125","2332.8125","2332.8125"
"7536640","2326.5625","2326.5625","2326.5625"
"7553024","2417.96875","2417.96875","2417.96875"
"7569408","2302.34375","2302.34375","2302.34375"
"7585792","2308.59375","2308.59375","2308.59375"
"7602176","2308.59375","2308.59375","2308.59375"
"7618560","2344.53125","2344.53125","2344.53125"
"7634944","2331.25","2331.25","2331.25"
"7651328","2339.0625","2339.0625","2339.0625"
"7667712","2346.09375","2346.09375","2346.09375"
"7684096","2357.03125","2357.03125","2357.03125"
"7700480","2416.40625","2416.40625","2416.40625"
"7716864","2400","2400","2400"
"7733248","2495.3125","2495.3125","2495.3125"
"7749632","2464.84375","2464.84375","2464.84375"
"7766016","2495.3125","2495.3125","2495.3125"
"7782400","2474.21875","2474.21875","2474.21875"
"7798784","2467.1875","2467.1875","2467.1875"
"7815168","2453.125","2453.125","2453.125"
"7831552","2482.03125","2482.03125","2482.03125"
"7847936","2503.90625","2503.90625","2503.90625"
"7864320","2541.40625","2541.40625","2541.40625"
"7880704","2551.5625","2551.5625","2551.5625"
"7897088","2503.125","2503.125","2503.125"
"7913472","2497.65625","2497.65625","2497.65625"
"7929856","2604.6875","2604.6875","2604.6875"
"7946240","2657.8125","2657.8125","2657.8125"
"7962624","2689.0625","2689.0625","2689.0625"
"7979008","2827.34375","2827.34375","2827.34375"
"7995392","2837.5","2837.5","2837.5"
"8011776","2681.25","2681.25","2681.25"
"8028160","2638.28125","2638.28125","2638.28125"
"8044544","2612.5","2612.5","2612.5"
"8060928","2516.40625","2516.40625","2516.40625"
"8077312","2568.75","2568.75","2568.75"
"8093696","2542.96875","2542.96875","2542.96875"
"8110080","2545.3125","2545.3125","2545.3125"
"8126464","2665.625","2665.625","2665.625"
"8142848","2622.65625","2622.65625","2622.65625"
"8159232","2675.78125","2675.78125","2675.78125"
"8175616","2686.71875","2686.71875","2686.71875"
"8192000","2691.40625","2691.40625","2691.40625"
"8208384","2712.5","2712.5","2712.5"
"8224768","2664.0625","2664.0625","2664.0625"
"8241152","2792.1875","2792.1875","2792.1875"
"8257536","2818.75","2818.75","2818.75"
"8273920","2848.4375","2848.4375","2848.4375"
"8290304","2919.53125","2919.53125","2919.53125"
"8306688","2992.1875","2992.1875","2992.1875"
"8323072","2939.84375","2939.84375","2939.84375"
"8339456","2806.25","2806.25","2806.25"
"8355840","2832.8125","2832.8125","2832.8125"
"8372224","2835.9375","2835.9375","2835.9375"
"8388608","2825.78125","2825.78125","2825.78125"
"8404992","2776.5625","2776.5625","2776.5625"
"8421376","2874.21875","2874.21875","2874.21875"
"8437760","2973.4375","2973.4375","2973.4375"
"8454144","2951.5625","2951.5625","2951.5625"
"8470528","2828.90625","2828.90625","2828.90625"
"8486912","2810.9375","2810.9375","2810.9375"
"8503296","2787.5","2787.5","2787.5"
"8519680","2786.71875","2786.71875","2786.71875"
"8536064","2809.375","2809.375","2809.375"
"8552448","2825","2825","2825"
"8568832","2912.5","2912.5","2912.5"
"8585216","2950","2950","2950"
"8601600","2989.84375","2989.84375","2989.84375"
"8617984","2940.625","2940.625","2940.625"
"8634368","2880.46875","2880.46875","2880.46875"
"8650752","2857.8125","2857.8125","2857.8125"
"8667136","2869.53125","2869.53125","2869.53125"
"8683520","2803.90625","2803.90625","2803.90625"
"8699904","2810.9375","2810.9375","2810.9375"
"8716288","2806.25","2806.25","2806.25"
"8732672","2815.625","2815.625","2815.625"
"8749056","2735.9375","2735.9375","2735.9375"
"8765440","2717.1875","2717.1875","2717.1875"
"8781824","2745.3125","2745.3125","2745.3125"
"8798208","2814.84375","2814.84375","2814.84375"
"8814592","2787.5","2787.5","2787.5"
"8830976","2931.25","2931.25","2931.25"
"8847360","2936.71875","2936.71875","2936.71875"
"8863744","2994.53125","2994.53125","2994.53125"
"8880128","3021.875","3021.875","3021.875"
"8896512","3027.34375","3027.34375","3027.34375"
"8912896","3039.84375","3039.84375","3039.84375"
"8929280","2917.1875","2917.1875","2917.1875"
"8945664","2914.84375","2914.84375","2914.84375"
"8962048","2895.3125","2895.3125","2895.3125"
"8978432","2925","2925","2925"
"8994816","2875.78125","2875.78125","2875.78125"
"9011200","3010.9375","3010.9375","3010.9375"
"9027584","3033.59375","3033.59375","3033.59375"
"9043968","2938.28125","2938.28125","2938.28125"
"9060352","2978.125","2978.125","2978.125"
"9076736","2928.90625","2928.90625","2928.90625"
"9093120","2968.75","2968.75","2968.75"
"9109504","2971.09375","2971.09375","2971.09375"
"9125888","3042.96875","3042.96875","3042.96875"
"9142272","3075","3075","3075"
"9158656","2991.40625","2991.40625","2991.40625"
"9175040","2985.9375","2985.9375","2985.9375"
"9191424","2967.96875","2967.96875","2967.96875"
"9207808","2974.21875","2974.21875","2974.21875"
"9224192","3025.78125","3025.78125","3025.78125"
"9240576","3101.5625","3101.5625","3101.5625"
"9256960","3126.5625","3126.5625","3126.5625"
"9273344","3126.5625","3126.5625","3126.5625"
"9289728","3166.40625","3166.40625","3166.40625"
"9306112","3130.46875","3130.46875","3130.46875"
"9322496","3100","3100","3100"
"9338880","3065.625","3065.625","3065.625"
"9355264","3175.78125","3175.78125","3175.78125"
"9371648","3183.59375","3183.59375","3183.59375"
"9388032","3214.0625","3214.0625","3214.0625"
"9404416","3174.21875","3174.21875","3174.21875"
"9420800","3069.53125","3069.53125","3069.53125"
"9437184","3110.15625","3110.15625","3110.15625"
"9453568","3168.75","3168.75","3168.75"
"9469952","3117.1875","3117.1875","3117.1875"
"9486336","3070.3125","3070.3125","3070.3125"
"9502720","3110.15625","3110.15625","3110.15625"
"9519104","3216.40625","3216.40625","3216.40625"
"9535488","3260.15625","3260.15625","3260.15625"
"9551872","3285.9375","3285.9375","3285.9375"
"9568256","3274.21875","3274.21875","3274.21875"
"9584640","3318.75","3318.75","3318.75"
"9601024","3325","3325","3325"
"9617408","3286.71875","3286.71875","3286.71875"
"9633792","3189.0625","3189.0625","3189.0625"
"9650176","3171.09375","3171.09375","3171.09375"
"9666560","3152.34375","3152.34375","3152.34375"
"9682944","3153.125","3153.125","3153.125"
"9699328","3125","3125","3125"
"9715712","3091.40625","3091.40625","3091.40625"
"9732096","3113.28125","3113.28125","3113.28125"
"9748480","3070.3125","3070.3125","3070.3125"
"9764864","3080.46875","3080.46875","3080.46875"
"9781248","3127.34375","3127.34375","3127.34375"
"9797632","3189.0625","3189.0625","3189.0625"
"9814016","3166.40625","3166.40625","3166.40625"
"9830400","3224.21875","3224.21875","3224.21875"
"9846784","3352.34375","3352.34375","3352.34375"
"9863168","3395.3125","3395.3125","3395.3125"
"9879552","3383.59375","3383.59375","3383.59375"
"9895936","3350.78125","3350.78125","3350.78125"
"9912320","3375","3375","3375"
