"Step","Score","StarGunner-v5__ppo - charts/game_score__MIN","StarGunner-v5__ppo - charts/game_score__MAX"
"9256960","14476.5625","14476.5625","14476.5625"
"9273344","14733.59375","14733.59375","14733.59375"
"9289728","14945.3125","14945.3125","14945.3125"
"9306112","14836.71875","14836.71875","14836.71875"
"9322496","14917.96875","14917.96875","14917.96875"
"9338880","14825.78125","14825.78125","14825.78125"
"9355264","15269.53125","15269.53125","15269.53125"
"9371648","15297.65625","15297.65625","15297.65625"
"9388032","15282.8125","15282.8125","15282.8125"
"9404416","15064.0625","15064.0625","15064.0625"
"9420800","15102.34375","15102.34375","15102.34375"
"9437184","15099.21875","15099.21875","15099.21875"
"9453568","15748.4375","15748.4375","15748.4375"
"9469952","15764.84375","15764.84375","15764.84375"
"9486336","15718.75","15718.75","15718.75"
"9502720","15514.0625","15514.0625","15514.0625"
"9519104","15519.53125","15519.53125","15519.53125"
"9535488","15482.8125","15482.8125","15482.8125"
"9551872","15824.21875","15824.21875","15824.21875"
"9568256","16079.6875","16079.6875","16079.6875"
"9584640","16198.4375","16198.4375","16198.4375"
"9601024","15624.21875","15624.21875","15624.21875"
"9617408","15831.25","15831.25","15831.25"
"9633792","15824.21875","15824.21875","15824.21875"
"9650176","15935.15625","15935.15625","15935.15625"
"9666560","15769.53125","15769.53125","15769.53125"
"9682944","15689.0625","15689.0625","15689.0625"
"9699328","15683.59375","15683.59375","15683.59375"
"9715712","15422.65625","15422.65625","15422.65625"
"9732096","15613.28125","15613.28125","15613.28125"
"9748480","15443.75","15443.75","15443.75"
"9764864","15668.75","15668.75","15668.75"
"9781248","15267.96875","15267.96875","15267.96875"
"9797632","15553.125","15553.125","15553.125"
"9814016","15313.28125","15313.28125","15313.28125"
"9830400","15537.5","15537.5","15537.5"
"9846784","15397.65625","15397.65625","15397.65625"
"9863168","15075","15075","15075"
"9879552","14991.40625","14991.40625","14991.40625"
"9895936","14965.625","14965.625","14965.625"
"9912320","15284.375","15284.375","15284.375"
