"Step","TrajLen","StarGunner-v5__ppo_noisy_net - charts/traj_len__MIN","StarGunner-v5__ppo_noisy_net - charts/traj_len__MAX"
"4882432","688.3046875","688.3046875","688.3046875"
"4898816","677.71875","677.71875","677.71875"
"4915200","656.1171875","656.1171875","656.1171875"
"4931584","654.796875","654.796875","654.796875"
"4947968","649.9375","649.9375","649.9375"
"4964352","647.4609375","647.4609375","647.4609375"
"4980736","644.2578125","644.2578125","644.2578125"
"4997120","644","644","644"
"5013504","649.921875","649.921875","649.921875"
"5029888","654.078125","654.078125","654.078125"
"5046272","660.90625","660.90625","660.90625"
"5062656","664.875","664.875","664.875"
"5079040","683.90625","683.90625","683.90625"
"5095424","691.6796875","691.6796875","691.6796875"
"5111808","689.5546875","689.5546875","689.5546875"
"5128192","685.359375","685.359375","685.359375"
"5144576","689.3671875","689.3671875","689.3671875"
"5160960","684.28125","684.28125","684.28125"
"5177344","682.6015625","682.6015625","682.6015625"
"5193728","689.1015625","689.1015625","689.1015625"
"5210112","680.203125","680.203125","680.203125"
"5226496","675.2890625","675.2890625","675.2890625"
"5242880","676.6875","676.6875","676.6875"
"5259264","667.09375","667.09375","667.09375"
"5275648","666.46875","666.46875","666.46875"
"5292032","663.3984375","663.3984375","663.3984375"
"5308416","679.234375","679.234375","679.234375"
"5324800","680.0703125","680.0703125","680.0703125"
"5341184","690.5703125","690.5703125","690.5703125"
"5357568","699.6875","699.6875","699.6875"
"5373952","704.953125","704.953125","704.953125"
"5390336","705.3359375","705.3359375","705.3359375"
"5406720","707.421875","707.421875","707.421875"
"5423104","714.65625","714.65625","714.65625"
"5439488","703.4765625","703.4765625","703.4765625"
"5455872","705.2265625","705.2265625","705.2265625"
"5472256","693.21875","693.21875","693.21875"
"5488640","679.6875","679.6875","679.6875"
"5505024","669.3359375","669.3359375","669.3359375"
"5521408","662.0625","662.0625","662.0625"
"5537792","654.7578125","654.7578125","654.7578125"
"5554176","664.796875","664.796875","664.796875"
"5570560","674.6171875","674.6171875","674.6171875"
"5586944","691.453125","691.453125","691.453125"
"5603328","688.984375","688.984375","688.984375"
"5619712","705.046875","705.046875","705.046875"
"5636096","703.2734375","703.2734375","703.2734375"
"5652480","713.25","713.25","713.25"
"5668864","720.375","720.375","720.375"
"5685248","716.0078125","716.0078125","716.0078125"
"5701632","710.640625","710.640625","710.640625"
"5718016","711.546875","711.546875","711.546875"
"5734400","691.625","691.625","691.625"
"5750784","681.3203125","681.3203125","681.3203125"
"5767168","665.4375","665.4375","665.4375"
"5783552","684.71875","684.71875","684.71875"
"5799936","669.6640625","669.6640625","669.6640625"
"5816320","678.4921875","678.4921875","678.4921875"
"5832704","673.3203125","673.3203125","673.3203125"
"5849088","679.265625","679.265625","679.265625"
"5865472","673.71875","673.71875","673.71875"
"5881856","679.3671875","679.3671875","679.3671875"
"5898240","682.0859375","682.0859375","682.0859375"
"5914624","678.3359375","678.3359375","678.3359375"
"5931008","705.1953125","705.1953125","705.1953125"
"5947392","708.3203125","708.3203125","708.3203125"
"5963776","709.9921875","709.9921875","709.9921875"
"5980160","727.390625","727.390625","727.390625"
"5996544","731.2421875","731.2421875","731.2421875"
"6012928","717.140625","717.140625","717.140625"
"6029312","703.0859375","703.0859375","703.0859375"
"6045696","704.3671875","704.3671875","704.3671875"
"6062080","694.859375","694.859375","694.859375"
"6078464","691.9765625","691.9765625","691.9765625"
"6094848","701.0390625","701.0390625","701.0390625"
"6111232","704.8203125","704.8203125","704.8203125"
"6127616","701.8125","701.8125","701.8125"
"6144000","712.9140625","712.9140625","712.9140625"
"6160384","728.75","728.75","728.75"
