"Step","TrajLen","StarGunner-v5__ppo_rle_SwitchStep500 - charts/traj_len__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - charts/traj_len__MAX"
"6897664","1437.8671875","1437.8671875","1437.8671875"
"6914048","1427.28125","1427.28125","1427.28125"
"6930432","1445.4375","1445.4375","1445.4375"
"6946816","1457.4140625","1457.4140625","1457.4140625"
"6963200","1457.0859375","1457.0859375","1457.0859375"
"6979584","1427.4140625","1427.4140625","1427.4140625"
"6995968","1446.8359375","1446.8359375","1446.8359375"
"7012352","1501.09375","1501.09375","1501.09375"
"7028736","1529.7421875","1529.7421875","1529.7421875"
"7045120","1539.40625","1539.40625","1539.40625"
"7061504","1522.71875","1522.71875","1522.71875"
"7077888","1521","1521","1521"
"7094272","1569.6953125","1569.6953125","1569.6953125"
"7110656","1535.703125","1535.703125","1535.703125"
"7127040","1534.9921875","1534.9921875","1534.9921875"
"7143424","1548.3515625","1548.3515625","1548.3515625"
"7159808","1554.9296875","1554.9296875","1554.9296875"
"7176192","1547.28125","1547.28125","1547.28125"
"7192576","1506.734375","1506.734375","1506.734375"
"7208960","1458.9609375","1458.9609375","1458.9609375"
"7225344","1465.9765625","1465.9765625","1465.9765625"
"7241728","1466.2734375","1466.2734375","1466.2734375"
"7258112","1446.5234375","1446.5234375","1446.5234375"
"7274496","1420.84375","1420.84375","1420.84375"
"7290880","1418.6875","1418.6875","1418.6875"
"7307264","1400.09375","1400.09375","1400.09375"
"7323648","1399.421875","1399.421875","1399.421875"
"7340032","1395.7265625","1395.7265625","1395.7265625"
"7356416","1403.8359375","1403.8359375","1403.8359375"
"7372800","1420.4375","1420.4375","1420.4375"
"7389184","1410.6796875","1410.6796875","1410.6796875"
"7405568","1408.609375","1408.609375","1408.609375"
"7421952","1422.9140625","1422.9140625","1422.9140625"
"7438336","1416.546875","1416.546875","1416.546875"
"7454720","1421.78125","1421.78125","1421.78125"
"7471104","1428.484375","1428.484375","1428.484375"
"7487488","1459.8203125","1459.8203125","1459.8203125"
"7503872","1518.234375","1518.234375","1518.234375"
"7520256","1547.0625","1547.0625","1547.0625"
"7536640","1565.046875","1565.046875","1565.046875"
"7553024","1589.6171875","1589.6171875","1589.6171875"
"7569408","1585.671875","1585.671875","1585.671875"
"7585792","1591.8359375","1591.8359375","1591.8359375"
"7602176","1620.4609375","1620.4609375","1620.4609375"
"7618560","1628.1953125","1628.1953125","1628.1953125"
"7634944","1631.265625","1631.265625","1631.265625"
"7651328","1639.984375","1639.984375","1639.984375"
"7667712","1669.1015625","1669.1015625","1669.1015625"
"7684096","1610.328125","1610.328125","1610.328125"
"7700480","1585.1484375","1585.1484375","1585.1484375"
"7716864","1567.8125","1567.8125","1567.8125"
"7733248","1570.5859375","1570.5859375","1570.5859375"
"7749632","1532.6875","1532.6875","1532.6875"
"7766016","1530.2578125","1530.2578125","1530.2578125"
"7782400","1550.5703125","1550.5703125","1550.5703125"
"7798784","1550.6640625","1550.6640625","1550.6640625"
"7815168","1534.359375","1534.359375","1534.359375"
"7831552","1526.7265625","1526.7265625","1526.7265625"
"7847936","1507.609375","1507.609375","1507.609375"
"7864320","1521.4921875","1521.4921875","1521.4921875"
"7880704","1535.6640625","1535.6640625","1535.6640625"
"7897088","1547.6484375","1547.6484375","1547.6484375"
"7913472","1563.0390625","1563.0390625","1563.0390625"
"7929856","1560.3828125","1560.3828125","1560.3828125"
"7946240","1584.8984375","1584.8984375","1584.8984375"
"7962624","1601.25","1601.25","1601.25"
"7979008","1617.1640625","1617.1640625","1617.1640625"
"7995392","1590.90625","1590.90625","1590.90625"
"8011776","1602.3828125","1602.3828125","1602.3828125"
"8028160","1592.234375","1592.234375","1592.234375"
"8044544","1580.953125","1580.953125","1580.953125"
"8060928","1576.8515625","1576.8515625","1576.8515625"
"8077312","1538.921875","1538.921875","1538.921875"
"8093696","1537.9375","1537.9375","1537.9375"
"8110080","1518.140625","1518.140625","1518.140625"
"8126464","1503.6875","1503.6875","1503.6875"
"8142848","1485.84375","1485.84375","1485.84375"
"8159232","1470.75","1470.75","1470.75"
"8175616","1489.453125","1489.453125","1489.453125"
"8192000","1473.71875","1473.71875","1473.71875"
"8208384","1503.5","1503.5","1503.5"
"8224768","1514.765625","1514.765625","1514.765625"
"8241152","1508.625","1508.625","1508.625"
"8257536","1514.78125","1514.78125","1514.78125"
"8273920","1513.9609375","1513.9609375","1513.9609375"
"8290304","1544.3125","1544.3125","1544.3125"
"8306688","1544.453125","1544.453125","1544.453125"
"8323072","1546.1015625","1546.1015625","1546.1015625"
"8339456","1563.671875","1563.671875","1563.671875"
"8355840","1550.8671875","1550.8671875","1550.8671875"
"8372224","1497.140625","1497.140625","1497.140625"
"8388608","1514.359375","1514.359375","1514.359375"
"8404992","1518.390625","1518.390625","1518.390625"
"8421376","1524.109375","1524.109375","1524.109375"
"8437760","1511.3203125","1511.3203125","1511.3203125"
"8454144","1512.875","1512.875","1512.875"
"8470528","1517.6171875","1517.6171875","1517.6171875"
"8486912","1531.3359375","1531.3359375","1531.3359375"
"8503296","1512.2734375","1512.2734375","1512.2734375"
"8519680","1535.640625","1535.640625","1535.640625"
"8536064","1552.71875","1552.71875","1552.71875"
"8552448","1582.546875","1582.546875","1582.546875"
"8568832","1611.2890625","1611.2890625","1611.2890625"
"8585216","1615.90625","1615.90625","1615.90625"
"8601600","1608.5703125","1608.5703125","1608.5703125"
"8617984","1642.7578125","1642.7578125","1642.7578125"
"8634368","1637.2265625","1637.2265625","1637.2265625"
"8650752","1625.515625","1625.515625","1625.515625"
"8667136","1645.4609375","1645.4609375","1645.4609375"
"8683520","1628","1628","1628"
"8699904","1638.296875","1638.296875","1638.296875"
"8716288","1677","1677","1677"
"8732672","1695.6875","1695.6875","1695.6875"
"8749056","1688.390625","1688.390625","1688.390625"
"8765440","1696.1796875","1696.1796875","1696.1796875"
"8781824","1698.4140625","1698.4140625","1698.4140625"
"8798208","1675.5078125","1675.5078125","1675.5078125"
"8814592","1714.859375","1714.859375","1714.859375"
"8830976","1734.8046875","1734.8046875","1734.8046875"
"8847360","1695.25","1695.25","1695.25"
"8863744","1714.78125","1714.78125","1714.78125"
"8880128","1733.53125","1733.53125","1733.53125"
"8896512","1739.140625","1739.140625","1739.140625"
"8912896","1740.0859375","1740.0859375","1740.0859375"
"8929280","1753.8828125","1753.8828125","1753.8828125"
"8945664","1759.65625","1759.65625","1759.65625"
"8962048","1732.5234375","1732.5234375","1732.5234375"
"8978432","1731.28125","1731.28125","1731.28125"
"8994816","1754.6796875","1754.6796875","1754.6796875"
"9011200","1807.6796875","1807.6796875","1807.6796875"
"9027584","1799.7421875","1799.7421875","1799.7421875"
"9043968","1780.765625","1780.765625","1780.765625"
"9060352","1787.59375","1787.59375","1787.59375"
"9076736","1796.609375","1796.609375","1796.609375"
"9093120","1755.3046875","1755.3046875","1755.3046875"
"9109504","1751.21875","1751.21875","1751.21875"
"9125888","1730.8046875","1730.8046875","1730.8046875"
"9142272","1744.59375","1744.59375","1744.59375"
"9158656","1740.0234375","1740.0234375","1740.0234375"
"9175040","1727.046875","1727.046875","1727.046875"
"9191424","1758.953125","1758.953125","1758.953125"
"9207808","1758.8828125","1758.8828125","1758.8828125"
"9224192","1775.8828125","1775.8828125","1775.8828125"
"9240576","1776.546875","1776.546875","1776.546875"
"9256960","1766.4140625","1766.4140625","1766.4140625"
"9273344","1791.78125","1791.78125","1791.78125"
"9289728","1787.640625","1787.640625","1787.640625"
"9306112","1789.4140625","1789.4140625","1789.4140625"
"9322496","1834.4140625","1834.4140625","1834.4140625"
"9338880","1878.921875","1878.921875","1878.921875"
