"Step","TrajLen","StarGunner-v5__ppo - charts/traj_len__MIN","StarGunner-v5__ppo - charts/traj_len__MAX"
"5472256","1090.0234375","1090.0234375","1090.0234375"
"5488640","1096.6484375","1096.6484375","1096.6484375"
"5505024","1104.671875","1104.671875","1104.671875"
"5521408","1097.2265625","1097.2265625","1097.2265625"
"5537792","1077.359375","1077.359375","1077.359375"
"5554176","1066.96875","1066.96875","1066.96875"
"5570560","1041.765625","1041.765625","1041.765625"
"5586944","1042.3984375","1042.3984375","1042.3984375"
"5603328","1009.765625","1009.765625","1009.765625"
"5619712","1007.8828125","1007.8828125","1007.8828125"
"5636096","993.59375","993.59375","993.59375"
"5652480","1007.2109375","1007.2109375","1007.2109375"
"5668864","1022.171875","1022.171875","1022.171875"
"5685248","1032.640625","1032.640625","1032.640625"
"5701632","1056.0546875","1056.0546875","1056.0546875"
"5718016","1048.5859375","1048.5859375","1048.5859375"
"5734400","1070.1640625","1070.1640625","1070.1640625"
"5750784","1084.1171875","1084.1171875","1084.1171875"
"5767168","1093.1015625","1093.1015625","1093.1015625"
"5783552","1076.8671875","1076.8671875","1076.8671875"
"5799936","1085.4375","1085.4375","1085.4375"
"5816320","1092.8046875","1092.8046875","1092.8046875"
"5832704","1100.703125","1100.703125","1100.703125"
"5849088","1095.2890625","1095.2890625","1095.2890625"
"5865472","1085.671875","1085.671875","1085.671875"
"5881856","1103.7734375","1103.7734375","1103.7734375"
"5898240","1115.53125","1115.53125","1115.53125"
"5914624","1128.78125","1128.78125","1128.78125"
"5931008","1110.0234375","1110.0234375","1110.0234375"
"5947392","1110.5546875","1110.5546875","1110.5546875"
"5963776","1120.7890625","1120.7890625","1120.7890625"
"5980160","1115.0703125","1115.0703125","1115.0703125"
"5996544","1106.515625","1106.515625","1106.515625"
"6012928","1173.2890625","1173.2890625","1173.2890625"
"6029312","1184.0859375","1184.0859375","1184.0859375"
"6045696","1189.6640625","1189.6640625","1189.6640625"
"6062080","1174.1875","1174.1875","1174.1875"
"6078464","1224.234375","1224.234375","1224.234375"
"6094848","1224.578125","1224.578125","1224.578125"
"6111232","1228.984375","1228.984375","1228.984375"
"6127616","1234.359375","1234.359375","1234.359375"
"6144000","1242.7109375","1242.7109375","1242.7109375"
"6160384","1246.0234375","1246.0234375","1246.0234375"
"6176768","1213.3984375","1213.3984375","1213.3984375"
"6193152","1219.0625","1219.0625","1219.0625"
"6209536","1243.6015625","1243.6015625","1243.6015625"
"6225920","1257.6953125","1257.6953125","1257.6953125"
