"Step","TrajLen","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MIN","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MAX"
"8568832","656.5625","656.5625","656.5625"
"8585216","661.8203125","661.8203125","661.8203125"
"8601600","678.7734375","678.7734375","678.7734375"
"8617984","689.1796875","689.1796875","689.1796875"
"8634368","693.6796875","693.6796875","693.6796875"
"8650752","693.9140625","693.9140625","693.9140625"
"8667136","708.609375","708.609375","708.609375"
"8683520","701.0546875","701.0546875","701.0546875"
"8699904","691.15625","691.15625","691.15625"
"8716288","689.4375","689.4375","689.4375"
"8732672","689.265625","689.265625","689.265625"
"8749056","687.453125","687.453125","687.453125"
"8765440","681.1875","681.1875","681.1875"
"8781824","685.3203125","685.3203125","685.3203125"
"8798208","672.2421875","672.2421875","672.2421875"
"8814592","669.8046875","669.8046875","669.8046875"
"8830976","672.9296875","672.9296875","672.9296875"
"8847360","666.1875","666.1875","666.1875"
"8863744","662.03125","662.03125","662.03125"
"8880128","664.3046875","664.3046875","664.3046875"
"8896512","654.3671875","654.3671875","654.3671875"
"8912896","646.0703125","646.0703125","646.0703125"
"8929280","650.90625","650.90625","650.90625"
"8945664","652.53125","652.53125","652.53125"
"8962048","645.25","645.25","645.25"
"8978432","633.3203125","633.3203125","633.3203125"
"8994816","636.4453125","636.4453125","636.4453125"
"9011200","644.046875","644.046875","644.046875"
"9027584","668.75","668.75","668.75"
"9043968","674.078125","674.078125","674.078125"
"9060352","688.234375","688.234375","688.234375"
"9076736","700.78125","700.78125","700.78125"
"9093120","694.8984375","694.8984375","694.8984375"
"9109504","701.796875","701.796875","701.796875"
"9125888","699.7734375","699.7734375","699.7734375"
"9142272","696.296875","696.296875","696.296875"
"9158656","696.7109375","696.7109375","696.7109375"
"9175040","690.40625","690.40625","690.40625"
"9191424","695.9921875","695.9921875","695.9921875"
"9207808","705.0078125","705.0078125","705.0078125"
"9224192","712.03125","712.03125","712.03125"
"9240576","715.609375","715.609375","715.609375"
"9256960","718.6484375","718.6484375","718.6484375"
"9273344","714.21875","714.21875","714.21875"
"9289728","714.5078125","714.5078125","714.5078125"
"9306112","704.5078125","704.5078125","704.5078125"
"9322496","703.328125","703.328125","703.328125"
"9338880","715.625","715.625","715.625"
"9355264","726.515625","726.515625","726.515625"
"9371648","720.953125","720.953125","720.953125"
"9388032","715.453125","715.453125","715.453125"
"9404416","708.6875","708.6875","708.6875"
"9420800","705.15625","705.15625","705.15625"
"9437184","698.3203125","698.3203125","698.3203125"
"9453568","711.375","711.375","711.375"
"9469952","705.703125","705.703125","705.703125"
"9486336","709.484375","709.484375","709.484375"
"9502720","711.796875","711.796875","711.796875"
"9519104","723.8984375","723.8984375","723.8984375"
"9535488","744.0546875","744.0546875","744.0546875"
"9551872","736.0390625","736.0390625","736.0390625"
"9568256","750.34375","750.34375","750.34375"
"9584640","754.5234375","754.5234375","754.5234375"
"9601024","757.2578125","757.2578125","757.2578125"
"9617408","751.4921875","751.4921875","751.4921875"
"9633792","752.2109375","752.2109375","752.2109375"
"9650176","735.015625","735.015625","735.015625"
"9666560","726.25","726.25","726.25"
"9682944","728.7265625","728.7265625","728.7265625"
"9699328","725.359375","725.359375","725.359375"
"9715712","719.75","719.75","719.75"
"9732096","718.5625","718.5625","718.5625"
"9748480","724.4453125","724.4453125","724.4453125"
"9764864","715.21875","715.21875","715.21875"
"9781248","705.2109375","705.2109375","705.2109375"
"9797632","696.9609375","696.9609375","696.9609375"
"9814016","702.6796875","702.6796875","702.6796875"
"9830400","712.0078125","712.0078125","712.0078125"
"9846784","700.9453125","700.9453125","700.9453125"
"9863168","714.1640625","714.1640625","714.1640625"
"9879552","717.3125","717.3125","717.3125"
"9895936","722.25","722.25","722.25"
"9912320","716.6796875","716.6796875","716.6796875"
"9928704","721.90625","721.90625","721.90625"
"9945088","729.609375","729.609375","729.609375"
"9961472","717.1328125","717.1328125","717.1328125"
"9977856","703.703125","703.703125","703.703125"
"9994240","707.8515625","707.8515625","707.8515625"
"10010624","705.140625","705.140625","705.140625"
"10027008","702.7265625","702.7265625","702.7265625"
"10043392","701.6796875","701.6796875","701.6796875"
"10059776","703.6328125","703.6328125","703.6328125"
"10076160","702.25","702.25","702.25"
"10092544","695.4765625","695.4765625","695.4765625"
"10108928","686.65625","686.65625","686.65625"
