"Step","TrajLen","Alien-v5__ppo_rnd_envpool - charts/traj_len__MIN","Alien-v5__ppo_rnd_envpool - charts/traj_len__MAX"
"6946816","680.984375","680.984375","680.984375"
"6963200","693.3046875","693.3046875","693.3046875"
"6979584","697.6796875","697.6796875","697.6796875"
"6995968","689.8671875","689.8671875","689.8671875"
"7012352","688.0234375","688.0234375","688.0234375"
"7028736","683.828125","683.828125","683.828125"
"7045120","686.6796875","686.6796875","686.6796875"
"7061504","690.546875","690.546875","690.546875"
"7077888","690.359375","690.359375","690.359375"
"7094272","693.1953125","693.1953125","693.1953125"
"7110656","692.3203125","692.3203125","692.3203125"
"7127040","693.359375","693.359375","693.359375"
"7143424","683.6015625","683.6015625","683.6015625"
"7159808","695.046875","695.046875","695.046875"
"7176192","694.6640625","694.6640625","694.6640625"
"7192576","706.9921875","706.9921875","706.9921875"
"7208960","711.3671875","711.3671875","711.3671875"
"7225344","710.71875","710.71875","710.71875"
"7241728","716.84375","716.84375","716.84375"
"7258112","712.6875","712.6875","712.6875"
"7274496","704.6015625","704.6015625","704.6015625"
"7290880","706.3515625","706.3515625","706.3515625"
"7307264","709.6953125","709.6953125","709.6953125"
"7323648","724.2890625","724.2890625","724.2890625"
"7340032","715.234375","715.234375","715.234375"
"7356416","716.6328125","716.6328125","716.6328125"
"7372800","711.1796875","711.1796875","711.1796875"
"7389184","710.4140625","710.4140625","710.4140625"
"7405568","701.6484375","701.6484375","701.6484375"
"7421952","691.203125","691.203125","691.203125"
"7438336","696.9375","696.9375","696.9375"
"7454720","700.140625","700.140625","700.140625"
"7471104","701.6875","701.6875","701.6875"
"7487488","703.9453125","703.9453125","703.9453125"
"7503872","712.859375","712.859375","712.859375"
"7520256","706.6640625","706.6640625","706.6640625"
"7536640","711.5078125","711.5078125","711.5078125"
"7553024","711.9765625","711.9765625","711.9765625"
"7569408","715.8515625","715.8515625","715.8515625"
"7585792","728.7890625","728.7890625","728.7890625"
"7602176","721.8203125","721.8203125","721.8203125"
"7618560","737.1875","737.1875","737.1875"
"7634944","734.0234375","734.0234375","734.0234375"
"7651328","732.8203125","732.8203125","732.8203125"
"7667712","724.125","724.125","724.125"
"7684096","721.890625","721.890625","721.890625"
"7700480","715.109375","715.109375","715.109375"
"7716864","708.7578125","708.7578125","708.7578125"
"7733248","712.171875","712.171875","712.171875"
"7749632","709.65625","709.65625","709.65625"
"7766016","713.1796875","713.1796875","713.1796875"
"7782400","714.1171875","714.1171875","714.1171875"
"7798784","706.5859375","706.5859375","706.5859375"
"7815168","705.1328125","705.1328125","705.1328125"
"7831552","707.5859375","707.5859375","707.5859375"
"7847936","699.171875","699.171875","699.171875"
"7864320","705.1875","705.1875","705.1875"
"7880704","716.328125","716.328125","716.328125"
"7897088","717.484375","717.484375","717.484375"
"7913472","715.875","715.875","715.875"
"7929856","714.40625","714.40625","714.40625"
"7946240","720.3828125","720.3828125","720.3828125"
"7962624","710.2421875","710.2421875","710.2421875"
"7979008","710.5703125","710.5703125","710.5703125"
