"Step","TrajLen","Alien-v5__bootstrapRLE - charts/traj_len__MIN","Alien-v5__bootstrapRLE - charts/traj_len__MAX"
"7110656","816.5234375","816.5234375","816.5234375"
"7127040","805.3828125","805.3828125","805.3828125"
"7143424","810.34375","810.34375","810.34375"
"7159808","828.3125","828.3125","828.3125"
"7176192","834.6796875","834.6796875","834.6796875"
"7192576","836.484375","836.484375","836.484375"
"7208960","832.9296875","832.9296875","832.9296875"
"7225344","843.25","843.25","843.25"
"7241728","857.9609375","857.9609375","857.9609375"
"7258112","858.4765625","858.4765625","858.4765625"
"7274496","852.9453125","852.9453125","852.9453125"
"7290880","861.5078125","861.5078125","861.5078125"
"7307264","858.90625","858.90625","858.90625"
"7323648","855.7109375","855.7109375","855.7109375"
"7340032","855.703125","855.703125","855.703125"
"7356416","851.65625","851.65625","851.65625"
"7372800","845.9296875","845.9296875","845.9296875"
"7389184","833","833","833"
"7405568","836.9140625","836.9140625","836.9140625"
"7421952","844.125","844.125","844.125"
"7438336","848.46875","848.46875","848.46875"
"7454720","833.8828125","833.8828125","833.8828125"
"7471104","833.1484375","833.1484375","833.1484375"
"7487488","831.0390625","831.0390625","831.0390625"
"7503872","838.890625","838.890625","838.890625"
"7520256","832.390625","832.390625","832.390625"
"7536640","826.6640625","826.6640625","826.6640625"
"7553024","834.7890625","834.7890625","834.7890625"
"7569408","820.015625","820.015625","820.015625"
"7585792","817.3359375","817.3359375","817.3359375"
"7602176","809.1015625","809.1015625","809.1015625"
"7618560","803.15625","803.15625","803.15625"
"7634944","807.4140625","807.4140625","807.4140625"
"7651328","810.1796875","810.1796875","810.1796875"
"7667712","813.109375","813.109375","813.109375"
"7684096","813.078125","813.078125","813.078125"
"7700480","826.671875","826.671875","826.671875"
"7716864","837.2890625","837.2890625","837.2890625"
"7733248","835.9765625","835.9765625","835.9765625"
"7749632","835.9296875","835.9296875","835.9296875"
"7766016","830.75","830.75","830.75"
"7782400","831.1171875","831.1171875","831.1171875"
"7798784","844.296875","844.296875","844.296875"
"7815168","836.7890625","836.7890625","836.7890625"
"7831552","843.5546875","843.5546875","843.5546875"
"7847936","833.0078125","833.0078125","833.0078125"
"7864320","835.59375","835.59375","835.59375"
"7880704","824.0390625","824.0390625","824.0390625"
"7897088","824.234375","824.234375","824.234375"
"7913472","810.0703125","810.0703125","810.0703125"
"7929856","818.5","818.5","818.5"
"7946240","821.25","821.25","821.25"
"7962624","827.9765625","827.9765625","827.9765625"
"7979008","846.09375","846.09375","846.09375"
"7995392","844.2890625","844.2890625","844.2890625"
"8011776","841.796875","841.796875","841.796875"
"8028160","840.609375","840.609375","840.609375"
"8044544","844.171875","844.171875","844.171875"
"8060928","834.25","834.25","834.25"
"8077312","823.625","823.625","823.625"
"8093696","815.296875","815.296875","815.296875"
"8110080","820.3359375","820.3359375","820.3359375"
"8126464","820.5859375","820.5859375","820.5859375"
"8142848","835.5546875","835.5546875","835.5546875"
"8159232","829.1171875","829.1171875","829.1171875"
"8175616","831.9765625","831.9765625","831.9765625"
"8192000","842.1953125","842.1953125","842.1953125"
"8208384","836.28125","836.28125","836.28125"
"8224768","842.2421875","842.2421875","842.2421875"
"8241152","823.859375","823.859375","823.859375"
"8257536","805.90625","805.90625","805.90625"
"8273920","806.890625","806.890625","806.890625"
"8290304","803.34375","803.34375","803.34375"
"8306688","812.6171875","812.6171875","812.6171875"
"8323072","820.8359375","820.8359375","820.8359375"
"8339456","830.65625","830.65625","830.65625"
"8355840","838.3046875","838.3046875","838.3046875"
"8372224","845.578125","845.578125","845.578125"
"8388608","839.71875","839.71875","839.71875"
"8404992","835.0078125","835.0078125","835.0078125"
"8421376","828.9296875","828.9296875","828.9296875"
"8437760","829.953125","829.953125","829.953125"
"8454144","835.4453125","835.4453125","835.4453125"
"8470528","831.8046875","831.8046875","831.8046875"
"8486912","830.90625","830.90625","830.90625"
"8503296","841.96875","841.96875","841.96875"
"8519680","832.8203125","832.8203125","832.8203125"
"8536064","838.1953125","838.1953125","838.1953125"
"8552448","836.671875","836.671875","836.671875"
"8568832","839.9296875","839.9296875","839.9296875"
"8585216","833.046875","833.046875","833.046875"
"8601600","829.265625","829.265625","829.265625"
"8617984","851.6328125","851.6328125","851.6328125"
"8634368","847.734375","847.734375","847.734375"
"8650752","841.65625","841.65625","841.65625"
"8667136","844.609375","844.609375","844.609375"
"8683520","847.7109375","847.7109375","847.7109375"
"8699904","850.5","850.5","850.5"
