"Step","Score","Alien-v5__bootstrapRLE - charts/game_score__MIN","Alien-v5__bootstrapRLE - charts/game_score__MAX"
"6701056","1010.234375","1010.234375","1010.234375"
"6717440","971.71875","971.71875","971.71875"
"6733824","966.25","966.25","966.25"
"6750208","941.953125","941.953125","941.953125"
"6766592","915.859375","915.859375","915.859375"
"6782976","921.328125","921.328125","921.328125"
"6799360","936.953125","936.953125","936.953125"
"6815744","972.96875","972.96875","972.96875"
"6832128","985.859375","985.859375","985.859375"
"6848512","981.015625","981.015625","981.015625"
"6864896","1003.046875","1003.046875","1003.046875"
"6881280","996.875","996.875","996.875"
"6897664","981.09375","981.09375","981.09375"
"6914048","967.1875","967.1875","967.1875"
"6930432","977.890625","977.890625","977.890625"
"6946816","1005.9375","1005.9375","1005.9375"
"6963200","1045.3125","1045.3125","1045.3125"
"6979584","1056.484375","1056.484375","1056.484375"
"6995968","1057.5","1057.5","1057.5"
"7012352","1054.84375","1054.84375","1054.84375"
"7028736","1039.453125","1039.453125","1039.453125"
"7045120","1007.34375","1007.34375","1007.34375"
"7061504","984.0625","984.0625","984.0625"
"7077888","970.625","970.625","970.625"
"7094272","969.0625","969.0625","969.0625"
"7110656","997.890625","997.890625","997.890625"
"7127040","991.71875","991.71875","991.71875"
"7143424","1024.21875","1024.21875","1024.21875"
"7159808","1032.8125","1032.8125","1032.8125"
"7176192","1044.921875","1044.921875","1044.921875"
"7192576","1048.28125","1048.28125","1048.28125"
"7208960","1043.828125","1043.828125","1043.828125"
"7225344","1062.421875","1062.421875","1062.421875"
"7241728","1085.9375","1085.9375","1085.9375"
"7258112","1078.125","1078.125","1078.125"
"7274496","1072.34375","1072.34375","1072.34375"
"7290880","1084.53125","1084.53125","1084.53125"
"7307264","1077.5","1077.5","1077.5"
"7323648","1077.734375","1077.734375","1077.734375"
"7340032","1055.703125","1055.703125","1055.703125"
"7356416","1052.578125","1052.578125","1052.578125"
"7372800","1079.53125","1079.53125","1079.53125"
"7389184","1066.953125","1066.953125","1066.953125"
"7405568","1096.71875","1096.71875","1096.71875"
"7421952","1100.703125","1100.703125","1100.703125"
"7438336","1112.5","1112.5","1112.5"
"7454720","1139.921875","1139.921875","1139.921875"
"7471104","1138.4375","1138.4375","1138.4375"
"7487488","1119.453125","1119.453125","1119.453125"
"7503872","1102.8125","1102.8125","1102.8125"
"7520256","1085.46875","1085.46875","1085.46875"
"7536640","1059.84375","1059.84375","1059.84375"
"7553024","1035","1035","1035"
"7569408","1035.078125","1035.078125","1035.078125"
"7585792","1021.09375","1021.09375","1021.09375"
"7602176","1018.046875","1018.046875","1018.046875"
"7618560","1040.078125","1040.078125","1040.078125"
"7634944","1039.21875","1039.21875","1039.21875"
"7651328","1060.9375","1060.9375","1060.9375"
"7667712","1054.296875","1054.296875","1054.296875"
"7684096","1048.671875","1048.671875","1048.671875"
"7700480","1057.03125","1057.03125","1057.03125"
"7716864","1056.015625","1056.015625","1056.015625"
