"Step","Score","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MIN","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MAX"
"6209536","690","690","690"
"6225920","672.1875","672.1875","672.1875"
"6242304","694.296875","694.296875","694.296875"
"6258688","713.203125","713.203125","713.203125"
"6275072","742.8125","742.8125","742.8125"
"6291456","771.71875","771.71875","771.71875"
"6307840","791.09375","791.09375","791.09375"
"6324224","779.0625","779.0625","779.0625"
"6340608","761.25","761.25","761.25"
"6356992","741.328125","741.328125","741.328125"
"6373376","717.109375","717.109375","717.109375"
"6389760","704.296875","704.296875","704.296875"
"6406144","690.78125","690.78125","690.78125"
"6422528","685.390625","685.390625","685.390625"
"6438912","697.109375","697.109375","697.109375"
"6455296","690.078125","690.078125","690.078125"
"6471680","681.09375","681.09375","681.09375"
"6488064","699.140625","699.140625","699.140625"
"6504448","672.734375","672.734375","672.734375"
"6520832","679.0625","679.0625","679.0625"
"6537216","674.140625","674.140625","674.140625"
"6553600","685.234375","685.234375","685.234375"
"6569984","682.65625","682.65625","682.65625"
"6586368","698.90625","698.90625","698.90625"
"6602752","683.984375","683.984375","683.984375"
"6619136","705.078125","705.078125","705.078125"
"6635520","678.4375","678.4375","678.4375"
"6651904","677.578125","677.578125","677.578125"
"6668288","679.296875","679.296875","679.296875"
"6684672","671.40625","671.40625","671.40625"
"6701056","655.859375","655.859375","655.859375"
"6717440","681.171875","681.171875","681.171875"
"6733824","694.53125","694.53125","694.53125"
"6750208","692.5","692.5","692.5"
"6766592","678.515625","678.515625","678.515625"
"6782976","681.40625","681.40625","681.40625"
"6799360","676.796875","676.796875","676.796875"
"6815744","706.484375","706.484375","706.484375"
"6832128","724.84375","724.84375","724.84375"
"6848512","738.671875","738.671875","738.671875"
"6864896","748.828125","748.828125","748.828125"
"6881280","751.5625","751.5625","751.5625"
"6897664","752.734375","752.734375","752.734375"
"6914048","711.875","711.875","711.875"
"6930432","714.53125","714.53125","714.53125"
"6946816","708.359375","708.359375","708.359375"
"6963200","715.625","715.625","715.625"
"6979584","712.421875","712.421875","712.421875"
"6995968","709.0625","709.0625","709.0625"
"7012352","715.15625","715.15625","715.15625"
"7028736","699.609375","699.609375","699.609375"
"7045120","673.515625","673.515625","673.515625"
"7061504","685.625","685.625","685.625"
"7077888","700.546875","700.546875","700.546875"
"7094272","707.265625","707.265625","707.265625"
"7110656","707.421875","707.421875","707.421875"
"7127040","756.953125","756.953125","756.953125"
"7143424","728.75","728.75","728.75"
"7159808","746.71875","746.71875","746.71875"
"7176192","781.953125","781.953125","781.953125"
"7192576","811.640625","811.640625","811.640625"
"7208960","782.03125","782.03125","782.03125"
"7225344","782.109375","782.109375","782.109375"
"7241728","774.453125","774.453125","774.453125"
"7258112","767.1875","767.1875","767.1875"
"7274496","751.796875","751.796875","751.796875"
"7290880","757.34375","757.34375","757.34375"
"7307264","759.140625","759.140625","759.140625"
"7323648","756.40625","756.40625","756.40625"
"7340032","747.96875","747.96875","747.96875"
"7356416","757.890625","757.890625","757.890625"
"7372800","747.34375","747.34375","747.34375"
"7389184","767.734375","767.734375","767.734375"
"7405568","814.609375","814.609375","814.609375"
"7421952","805.234375","805.234375","805.234375"
"7438336","810.15625","810.15625","810.15625"
"7454720","808.4375","808.4375","808.4375"
"7471104","796.015625","796.015625","796.015625"
"7487488","757.578125","757.578125","757.578125"
"7503872","747.578125","747.578125","747.578125"
"7520256","767.8125","767.8125","767.8125"
"7536640","770.703125","770.703125","770.703125"
"7553024","754.609375","754.609375","754.609375"
"7569408","749.140625","749.140625","749.140625"
"7585792","751.015625","751.015625","751.015625"
"7602176","750.234375","750.234375","750.234375"
"7618560","752.109375","752.109375","752.109375"
"7634944","739.765625","739.765625","739.765625"
"7651328","754.609375","754.609375","754.609375"
"7667712","774.375","774.375","774.375"
"7684096","773.203125","773.203125","773.203125"
"7700480","784.140625","784.140625","784.140625"
"7716864","786.25","786.25","786.25"
"7733248","791.015625","791.015625","791.015625"
"7749632","802.265625","802.265625","802.265625"
"7766016","803.359375","803.359375","803.359375"
"7782400","796.71875","796.71875","796.71875"
"7798784","809.296875","809.296875","809.296875"
"7815168","812.109375","812.109375","812.109375"
"7831552","790.9375","790.9375","790.9375"
"7847936","773.75","773.75","773.75"
"7864320","780","780","780"
"7880704","766.796875","766.796875","766.796875"
"7897088","779.921875","779.921875","779.921875"
"7913472","780.9375","780.9375","780.9375"
"7929856","798.671875","798.671875","798.671875"
"7946240","803.4375","803.4375","803.4375"
"7962624","793.28125","793.28125","793.28125"
"7979008","771.796875","771.796875","771.796875"
"7995392","757.265625","757.265625","757.265625"
"8011776","736.09375","736.09375","736.09375"
"8028160","728.359375","728.359375","728.359375"
"8044544","716.5625","716.5625","716.5625"
"8060928","718.359375","718.359375","718.359375"
"8077312","721.328125","721.328125","721.328125"
"8093696","748.046875","748.046875","748.046875"
"8110080","736.5625","736.5625","736.5625"
"8126464","760.78125","760.78125","760.78125"
"8142848","764.0625","764.0625","764.0625"
"8159232","780.3125","780.3125","780.3125"
"8175616","772.890625","772.890625","772.890625"
"8192000","749.453125","749.453125","749.453125"
"8208384","743.984375","743.984375","743.984375"
"8224768","743.203125","743.203125","743.203125"
"8241152","728.984375","728.984375","728.984375"
"8257536","708.90625","708.90625","708.90625"
"8273920","726.328125","726.328125","726.328125"
"8290304","744.53125","744.53125","744.53125"
"8306688","731.09375","731.09375","731.09375"
"8323072","749.296875","749.296875","749.296875"
"8339456","764.6875","764.6875","764.6875"
"8355840","756.09375","756.09375","756.09375"
"8372224","746.796875","746.796875","746.796875"
"8388608","760.234375","760.234375","760.234375"
"8404992","747.96875","747.96875","747.96875"
"8421376","719.84375","719.84375","719.84375"
"8437760","767.109375","767.109375","767.109375"
"8454144","775.15625","775.15625","775.15625"
"8470528","749.375","749.375","749.375"
"8486912","743.671875","743.671875","743.671875"
"8503296","738.59375","738.59375","738.59375"
"8519680","691.640625","691.640625","691.640625"
"8536064","687.5","687.5","687.5"
"8552448","685","685","685"
"8568832","695.9375","695.9375","695.9375"
"8585216","714.84375","714.84375","714.84375"
"8601600","757.5","757.5","757.5"
"8617984","745.859375","745.859375","745.859375"
"8634368","759.375","759.375","759.375"
"8650752","746.875","746.875","746.875"
"8667136","739.21875","739.21875","739.21875"
"8683520","738.046875","738.046875","738.046875"
"8699904","736.328125","736.328125","736.328125"
"8716288","766.328125","766.328125","766.328125"
"8732672","757.1875","757.1875","757.1875"
"8749056","754.53125","754.53125","754.53125"
"8765440","750.859375","750.859375","750.859375"
"8781824","727.1875","727.1875","727.1875"
"8798208","695.15625","695.15625","695.15625"
"8814592","703.4375","703.4375","703.4375"
"8830976","712.265625","712.265625","712.265625"
"8847360","710.15625","710.15625","710.15625"
"8863744","691.25","691.25","691.25"
"8880128","705.703125","705.703125","705.703125"
"8896512","687.65625","687.65625","687.65625"
"8912896","711.796875","711.796875","711.796875"
"8929280","719.609375","719.609375","719.609375"
"8945664","730.703125","730.703125","730.703125"
"8962048","719.375","719.375","719.375"
"8978432","715.078125","715.078125","715.078125"
"8994816","706.328125","706.328125","706.328125"
"9011200","702.265625","702.265625","702.265625"
"9027584","721.015625","721.015625","721.015625"
"9043968","722.96875","722.96875","722.96875"
"9060352","737.265625","737.265625","737.265625"
"9076736","746.328125","746.328125","746.328125"
"9093120","739.0625","739.0625","739.0625"
"9109504","757.890625","757.890625","757.890625"
"9125888","778.125","778.125","778.125"
"9142272","773.90625","773.90625","773.90625"
"9158656","774.53125","774.53125","774.53125"
"9175040","747.109375","747.109375","747.109375"
"9191424","759.21875","759.21875","759.21875"
"9207808","736.484375","736.484375","736.484375"
"9224192","721.40625","721.40625","721.40625"
"9240576","728.671875","728.671875","728.671875"
"9256960","730.234375","730.234375","730.234375"
"9273344","750.3125","750.3125","750.3125"
"9289728","749.140625","749.140625","749.140625"
"9306112","750.9375","750.9375","750.9375"
"9322496","750.15625","750.15625","750.15625"
"9338880","752.734375","752.734375","752.734375"
"9355264","743.75","743.75","743.75"
"9371648","733.359375","733.359375","733.359375"
"9388032","720.859375","720.859375","720.859375"
"9404416","747.265625","747.265625","747.265625"
"9420800","763.515625","763.515625","763.515625"
"9437184","757.421875","757.421875","757.421875"
"9453568","785.078125","785.078125","785.078125"
"9469952","769.609375","769.609375","769.609375"
"9486336","786.5625","786.5625","786.5625"
"9502720","755.46875","755.46875","755.46875"
"9519104","787.65625","787.65625","787.65625"
"9535488","811.09375","811.09375","811.09375"
"9551872","784.53125","784.53125","784.53125"
"9568256","800","800","800"
"9584640","810.078125","810.078125","810.078125"
"9601024","827.96875","827.96875","827.96875"
"9617408","815.15625","815.15625","815.15625"
"9633792","808.828125","808.828125","808.828125"
"9650176","810.15625","810.15625","810.15625"
"9666560","799.0625","799.0625","799.0625"
"9682944","786.171875","786.171875","786.171875"
"9699328","775.703125","775.703125","775.703125"
"9715712","759.21875","759.21875","759.21875"
"9732096","770.15625","770.15625","770.15625"
"9748480","759.921875","759.921875","759.921875"
"9764864","778.59375","778.59375","778.59375"
"9781248","783.125","783.125","783.125"
"9797632","794.53125","794.53125","794.53125"
"9814016","795.234375","795.234375","795.234375"
"9830400","816.40625","816.40625","816.40625"
"9846784","815.46875","815.46875","815.46875"
"9863168","816.09375","816.09375","816.09375"
"9879552","821.484375","821.484375","821.484375"
"9895936","812.109375","812.109375","812.109375"
"9912320","818.515625","818.515625","818.515625"
"9928704","798.984375","798.984375","798.984375"
"9945088","802.5","802.5","802.5"
"9961472","773.125","773.125","773.125"
"9977856","753.75","753.75","753.75"
