"Step","Score","Alien-v5__ppo_rnd_envpool - charts/game_score__MIN","Alien-v5__ppo_rnd_envpool - charts/game_score__MAX"
"8093696","508.90625","508.90625","508.90625"
"8110080","514.453125","514.453125","514.453125"
"8126464","508.90625","508.90625","508.90625"
"8142848","512.1875","512.1875","512.1875"
"8159232","523.359375","523.359375","523.359375"
"8175616","531.40625","531.40625","531.40625"
"8192000","534.453125","534.453125","534.453125"
"8208384","540.390625","540.390625","540.390625"
"8224768","550","550","550"
"8241152","546.796875","546.796875","546.796875"
"8257536","544.296875","544.296875","544.296875"
"8273920","563.90625","563.90625","563.90625"
"8290304","550.234375","550.234375","550.234375"
"8306688","538.671875","538.671875","538.671875"
"8323072","535.78125","535.78125","535.78125"
"8339456","529.453125","529.453125","529.453125"
"8355840","523.75","523.75","523.75"
"8372224","506.875","506.875","506.875"
"8388608","512.734375","512.734375","512.734375"
"8404992","531.015625","531.015625","531.015625"
"8421376","520.625","520.625","520.625"
"8437760","537.265625","537.265625","537.265625"
"8454144","553.90625","553.90625","553.90625"
"8470528","547.578125","547.578125","547.578125"
"8486912","551.171875","551.171875","551.171875"
"8503296","540.546875","540.546875","540.546875"
"8519680","537.03125","537.03125","537.03125"
"8536064","532.734375","532.734375","532.734375"
"8552448","519.6875","519.6875","519.6875"
"8568832","517.1875","517.1875","517.1875"
"8585216","517.890625","517.890625","517.890625"
"8601600","517.109375","517.109375","517.109375"
"8617984","528.359375","528.359375","528.359375"
"8634368","536.25","536.25","536.25"
"8650752","541.328125","541.328125","541.328125"
"8667136","535.234375","535.234375","535.234375"
"8683520","538.125","538.125","538.125"
"8699904","560","560","560"
"8716288","565.859375","565.859375","565.859375"
"8732672","552.578125","552.578125","552.578125"
"8749056","559.375","559.375","559.375"
"8765440","569.921875","569.921875","569.921875"
"8781824","574.21875","574.21875","574.21875"
"8798208","569.375","569.375","569.375"
"8814592","548.203125","548.203125","548.203125"
"8830976","556.09375","556.09375","556.09375"
"8847360","556.5625","556.5625","556.5625"
"8863744","550.78125","550.78125","550.78125"
"8880128","562.34375","562.34375","562.34375"
"8896512","564.609375","564.609375","564.609375"
"8912896","585.3125","585.3125","585.3125"
"8929280","601.484375","601.484375","601.484375"
"8945664","594.21875","594.21875","594.21875"
"8962048","584.296875","584.296875","584.296875"
"8978432","564.6875","564.6875","564.6875"
"8994816","575.390625","575.390625","575.390625"
"9011200","568.984375","568.984375","568.984375"
"9027584","573.359375","573.359375","573.359375"
"9043968","584.53125","584.53125","584.53125"
"9060352","578.046875","578.046875","578.046875"
"9076736","580.3125","580.3125","580.3125"
"9093120","571.015625","571.015625","571.015625"
"9109504","568.671875","568.671875","568.671875"
"9125888","574.296875","574.296875","574.296875"
"9142272","556.796875","556.796875","556.796875"
"9158656","572.578125","572.578125","572.578125"
"9175040","593.515625","593.515625","593.515625"
"9191424","594.375","594.375","594.375"
