"Step","Score","Alien-v5 PPO NoisyNet - charts/game_score__MIN","Alien-v5 PPO NoisyNet - charts/game_score__MAX"
"4702208","334.609375","334.609375","334.609375"
"4718592","337.109375","337.109375","337.109375"
"4734976","340.078125","340.078125","340.078125"
"4751360","342.109375","342.109375","342.109375"
"4767744","341.015625","341.015625","341.015625"
"4784128","347.8125","347.8125","347.8125"
"4800512","345.546875","345.546875","345.546875"
"4816896","346.171875","346.171875","346.171875"
"4833280","352.03125","352.03125","352.03125"
"4849664","352.1875","352.1875","352.1875"
"4866048","352.890625","352.890625","352.890625"
"4882432","357.65625","357.65625","357.65625"
"4898816","357.1875","357.1875","357.1875"
"4915200","349.53125","349.53125","349.53125"
"4931584","351.25","351.25","351.25"
"4947968","355.15625","355.15625","355.15625"
"4964352","357.65625","357.65625","357.65625"
"4980736","359.609375","359.609375","359.609375"
"4997120","366.09375","366.09375","366.09375"
"5013504","367.421875","367.421875","367.421875"
"5029888","360.46875","360.46875","360.46875"
"5046272","363.28125","363.28125","363.28125"
"5062656","360.546875","360.546875","360.546875"
"5079040","358.125","358.125","358.125"
"5095424","362.890625","362.890625","362.890625"
"5111808","359.140625","359.140625","359.140625"
"5128192","353.90625","353.90625","353.90625"
"5144576","353.984375","353.984375","353.984375"
"5160960","345.390625","345.390625","345.390625"
"5177344","344.296875","344.296875","344.296875"
"5193728","347.1875","347.1875","347.1875"
"5210112","347.1875","347.1875","347.1875"
"5226496","351.875","351.875","351.875"
"5242880","354.6875","354.6875","354.6875"
"5259264","350.9375","350.9375","350.9375"
"5275648","347.96875","347.96875","347.96875"
"5292032","352.265625","352.265625","352.265625"
"5308416","345.9375","345.9375","345.9375"
"5324800","349.609375","349.609375","349.609375"
"5341184","345.46875","345.46875","345.46875"
"5357568","347.109375","347.109375","347.109375"
"5373952","350.9375","350.9375","350.9375"
"5390336","352.109375","352.109375","352.109375"
"5406720","358.90625","358.90625","358.90625"
"5423104","359.921875","359.921875","359.921875"
"5439488","360.546875","360.546875","360.546875"
"5455872","365.859375","365.859375","365.859375"
"5472256","366.25","366.25","366.25"
"5488640","369.609375","369.609375","369.609375"
"5505024","371.171875","371.171875","371.171875"
"5521408","369.21875","369.21875","369.21875"
"5537792","368.59375","368.59375","368.59375"
"5554176","366.09375","366.09375","366.09375"
"5570560","356.953125","356.953125","356.953125"
"5586944","352.96875","352.96875","352.96875"
"5603328","346.40625","346.40625","346.40625"
"5619712","346.40625","346.40625","346.40625"
"5636096","350","350","350"
"5652480","359.84375","359.84375","359.84375"
"5668864","361.953125","361.953125","361.953125"
"5685248","371.015625","371.015625","371.015625"
"5701632","371.953125","371.953125","371.953125"
"5718016","369.375","369.375","369.375"
"5734400","363.125","363.125","363.125"
"5750784","363.75","363.75","363.75"
"5767168","365.546875","365.546875","365.546875"
"5783552","369.296875","369.296875","369.296875"
"5799936","372.5","372.5","372.5"
"5816320","367.5","367.5","367.5"
"5832704","368.125","368.125","368.125"
"5849088","367.890625","367.890625","367.890625"
"5865472","365.9375","365.9375","365.9375"
"5881856","379.765625","379.765625","379.765625"
"5898240","385.15625","385.15625","385.15625"
"5914624","387.03125","387.03125","387.03125"
"5931008","387.734375","387.734375","387.734375"
"5947392","381.5625","381.5625","381.5625"
"5963776","378.984375","378.984375","378.984375"
"5980160","381.5625","381.5625","381.5625"
"5996544","384.140625","384.140625","384.140625"
"6012928","388.203125","388.203125","388.203125"
"6029312","386.015625","386.015625","386.015625"
"6045696","386.40625","386.40625","386.40625"
"6062080","389.140625","389.140625","389.140625"
"6078464","393.125","393.125","393.125"
"6094848","394.296875","394.296875","394.296875"
"6111232","397.734375","397.734375","397.734375"
"6127616","399.453125","399.453125","399.453125"
"6144000","399.765625","399.765625","399.765625"
"6160384","394.53125","394.53125","394.53125"
"6176768","396.015625","396.015625","396.015625"
"6193152","395.9375","395.9375","395.9375"
"6209536","396.09375","396.09375","396.09375"
"6225920","397.65625","397.65625","397.65625"
"6242304","399.0625","399.0625","399.0625"
"6258688","399.53125","399.53125","399.53125"
"6275072","403.046875","403.046875","403.046875"
"6291456","404.84375","404.84375","404.84375"
"6307840","402.890625","402.890625","402.890625"
"6324224","401.09375","401.09375","401.09375"
"6340608","399.53125","399.53125","399.53125"
"6356992","395.625","395.625","395.625"
"6373376","394.0625","394.0625","394.0625"
"6389760","394.609375","394.609375","394.609375"
"6406144","394.53125","394.53125","394.53125"
"6422528","396.09375","396.09375","396.09375"
"6438912","400.234375","400.234375","400.234375"
"6455296","403.59375","403.59375","403.59375"
"6471680","402.734375","402.734375","402.734375"
"6488064","403.046875","403.046875","403.046875"
"6504448","401.953125","401.953125","401.953125"
"6520832","400.859375","400.859375","400.859375"
"6537216","401.875","401.875","401.875"
"6553600","404.453125","404.453125","404.453125"
"6569984","407.5","407.5","407.5"
"6586368","411.40625","411.40625","411.40625"
"6602752","413.359375","413.359375","413.359375"
"6619136","411.328125","411.328125","411.328125"
"6635520","409.140625","409.140625","409.140625"
"6651904","411.328125","411.328125","411.328125"
"6668288","410.15625","410.15625","410.15625"
"6684672","417.421875","417.421875","417.421875"
"6701056","421.5625","421.5625","421.5625"
"6717440","424.765625","424.765625","424.765625"
"6733824","428.28125","428.28125","428.28125"
"6750208","427.96875","427.96875","427.96875"
"6766592","432.109375","432.109375","432.109375"
"6782976","429.6875","429.6875","429.6875"
"6799360","427.265625","427.265625","427.265625"
"6815744","427.5","427.5","427.5"
"6832128","428.671875","428.671875","428.671875"
"6848512","428.90625","428.90625","428.90625"
"6864896","429.765625","429.765625","429.765625"
"6881280","431.40625","431.40625","431.40625"
"6897664","432.1875","432.1875","432.1875"
"6914048","436.796875","436.796875","436.796875"
"6930432","440","440","440"
"6946816","436.796875","436.796875","436.796875"
"6963200","438.984375","438.984375","438.984375"
"6979584","437.34375","437.34375","437.34375"
"6995968","433.046875","433.046875","433.046875"
"7012352","434.0625","434.0625","434.0625"
"7028736","438.203125","438.203125","438.203125"
"7045120","438.515625","438.515625","438.515625"
"7061504","439.765625","439.765625","439.765625"
"7077888","441.25","441.25","441.25"
"7094272","439.375","439.375","439.375"
"7110656","439.921875","439.921875","439.921875"
"7127040","438.90625","438.90625","438.90625"
"7143424","438.828125","438.828125","438.828125"
"7159808","438.59375","438.59375","438.59375"
"7176192","440.390625","440.390625","440.390625"
"7192576","443.515625","443.515625","443.515625"
"7208960","446.640625","446.640625","446.640625"
"7225344","447.5","447.5","447.5"
"7241728","448.4375","448.4375","448.4375"
"7258112","445.15625","445.15625","445.15625"
"7274496","444.609375","444.609375","444.609375"
"7290880","443.203125","443.203125","443.203125"
"7307264","441.953125","441.953125","441.953125"
"7323648","443.359375","443.359375","443.359375"
"7340032","441.40625","441.40625","441.40625"
"7356416","443.28125","443.28125","443.28125"
"7372800","444.21875","444.21875","444.21875"
"7389184","444.140625","444.140625","444.140625"
"7405568","443.515625","443.515625","443.515625"
"7421952","444.609375","444.609375","444.609375"
"7438336","443.90625","443.90625","443.90625"
"7454720","443.828125","443.828125","443.828125"
"7471104","445.078125","445.078125","445.078125"
"7487488","445","445","445"
"7503872","445.234375","445.234375","445.234375"
"7520256","445.078125","445.078125","445.078125"
"7536640","446.640625","446.640625","446.640625"
"7553024","447.578125","447.578125","447.578125"
"7569408","445.9375","445.9375","445.9375"
"7585792","446.328125","446.328125","446.328125"
"7602176","445.546875","445.546875","445.546875"
"7618560","446.71875","446.71875","446.71875"
"7634944","448.28125","448.28125","448.28125"
"7651328","448.359375","448.359375","448.359375"
"7667712","448.828125","448.828125","448.828125"
"7684096","448.671875","448.671875","448.671875"
"7700480","446.484375","446.484375","446.484375"
"7716864","446.40625","446.40625","446.40625"
"7733248","446.71875","446.71875","446.71875"
"7749632","446.171875","446.171875","446.171875"
"7766016","447.34375","447.34375","447.34375"
"7782400","449.921875","449.921875","449.921875"
"7798784","448.359375","448.359375","448.359375"
"7815168","449.84375","449.84375","449.84375"
"7831552","450.625","450.625","450.625"
"7847936","450.625","450.625","450.625"
"7864320","451.484375","451.484375","451.484375"
"7880704","450.625","450.625","450.625"
"7897088","450.546875","450.546875","450.546875"
"7913472","450.390625","450.390625","450.390625"
"7929856","450.859375","450.859375","450.859375"
"7946240","451.40625","451.40625","451.40625"
"7962624","451.40625","451.40625","451.40625"
"7979008","451.015625","451.015625","451.015625"
"7995392","448.75","448.75","448.75"
"8011776","446.09375","446.09375","446.09375"
"8028160","446.015625","446.015625","446.015625"
"8044544","444.375","444.375","444.375"
"8060928","445.15625","445.15625","445.15625"
"8077312","448.671875","448.671875","448.671875"
"8093696","450.15625","450.15625","450.15625"
"8110080","451.171875","451.171875","451.171875"
"8126464","451.875","451.875","451.875"
"8142848","452.265625","452.265625","452.265625"
"8159232","451.71875","451.71875","451.71875"
"8175616","452.734375","452.734375","452.734375"
"8192000","452.34375","452.34375","452.34375"
"8208384","453.28125","453.28125","453.28125"
"8224768","451.328125","451.328125","451.328125"
"8241152","449.6875","449.6875","449.6875"
"8257536","449.609375","449.609375","449.609375"
"8273920","447.8125","447.8125","447.8125"
"8290304","450.3125","450.3125","450.3125"
"8306688","450.3125","450.3125","450.3125"
"8323072","449.6875","449.6875","449.6875"
"8339456","451.328125","451.328125","451.328125"
"8355840","450.625","450.625","450.625"
"8372224","450.625","450.625","450.625"
"8388608","450.546875","450.546875","450.546875"
"8404992","450.3125","450.3125","450.3125"
"8421376","451.171875","451.171875","451.171875"
"8437760","453.90625","453.90625","453.90625"
"8454144","456.25","456.25","456.25"
"8470528","457.421875","457.421875","457.421875"
"8486912","454.140625","454.140625","454.140625"
"8503296","450.9375","450.9375","450.9375"
"8519680","448.59375","448.59375","448.59375"
"8536064","449.0625","449.0625","449.0625"
"8552448","450.390625","450.390625","450.390625"
"8568832","452.890625","452.890625","452.890625"
"8585216","453.828125","453.828125","453.828125"
"8601600","454.0625","454.0625","454.0625"
"8617984","457.03125","457.03125","457.03125"
"8634368","455.46875","455.46875","455.46875"
"8650752","456.40625","456.40625","456.40625"
"8667136","454.21875","454.21875","454.21875"
"8683520","453.046875","453.046875","453.046875"
"8699904","453.671875","453.671875","453.671875"
"8716288","454.296875","454.296875","454.296875"
"8732672","456.484375","456.484375","456.484375"
"8749056","455.46875","455.46875","455.46875"
"8765440","455.15625","455.15625","455.15625"
"8781824","455.546875","455.546875","455.546875"
"8798208","454.6875","454.6875","454.6875"
"8814592","455","455","455"
"8830976","456.640625","456.640625","456.640625"
"8847360","456.484375","456.484375","456.484375"
"8863744","455.234375","455.234375","455.234375"
"8880128","454.84375","454.84375","454.84375"
"8896512","453.75","453.75","453.75"
"8912896","453.828125","453.828125","453.828125"
"8929280","456.71875","456.71875","456.71875"
"8945664","456.640625","456.640625","456.640625"
"8962048","458.828125","458.828125","458.828125"
"8978432","459.921875","459.921875","459.921875"
"8994816","461.484375","461.484375","461.484375"
"9011200","461.484375","461.484375","461.484375"
"9027584","461.09375","461.09375","461.09375"
"9043968","461.40625","461.40625","461.40625"
"9060352","459.6875","459.6875","459.6875"
"9076736","459.921875","459.921875","459.921875"
"9093120","457.109375","457.109375","457.109375"
"9109504","456.71875","456.71875","456.71875"
"9125888","455.3125","455.3125","455.3125"
"9142272","457.265625","457.265625","457.265625"
"9158656","457.96875","457.96875","457.96875"
"9175040","456.171875","456.171875","456.171875"
"9191424","457.03125","457.03125","457.03125"
"9207808","454.6875","454.6875","454.6875"
"9224192","456.171875","456.171875","456.171875"
"9240576","455.859375","455.859375","455.859375"
"9256960","458.359375","458.359375","458.359375"
"9273344","462.65625","462.65625","462.65625"
"9289728","462.578125","462.578125","462.578125"
"9306112","464.6875","464.6875","464.6875"
"9322496","463.59375","463.59375","463.59375"
"9338880","461.796875","461.796875","461.796875"
"9355264","461.953125","461.953125","461.953125"
"9371648","459.84375","459.84375","459.84375"
"9388032","462.109375","462.109375","462.109375"
"9404416","463.984375","463.984375","463.984375"
"9420800","463.90625","463.90625","463.90625"
"9437184","465.234375","465.234375","465.234375"
"9453568","463.359375","463.359375","463.359375"
"9469952","455.859375","455.859375","455.859375"
"9486336","454.0625","454.0625","454.0625"
"9502720","453.90625","453.90625","453.90625"
"9519104","455.625","455.625","455.625"
"9535488","459.140625","459.140625","459.140625"
"9551872","461.171875","461.171875","461.171875"
"9568256","463.515625","463.515625","463.515625"
"9584640","462.421875","462.421875","462.421875"
"9601024","460.078125","460.078125","460.078125"
"9617408","455","455","455"
"9633792","452.5","452.5","452.5"
"9650176","453.828125","453.828125","453.828125"
"9666560","453.203125","453.203125","453.203125"
"9682944","458.984375","458.984375","458.984375"
"9699328","459.6875","459.6875","459.6875"
"9715712","463.203125","463.203125","463.203125"
"9732096","464.765625","464.765625","464.765625"
"9748480","463.671875","463.671875","463.671875"
"9764864","460.234375","460.234375","460.234375"
"9781248","457.578125","457.578125","457.578125"
"9797632","458.203125","458.203125","458.203125"
"9814016","460.15625","460.15625","460.15625"
"9830400","465.234375","465.234375","465.234375"
"9846784","466.953125","466.953125","466.953125"
"9863168","466.796875","466.796875","466.796875"
"9879552","467.421875","467.421875","467.421875"
"9895936","467.421875","467.421875","467.421875"
"9912320","468.203125","468.203125","468.203125"
"9928704","468.4375","468.4375","468.4375"
"9945088","464.84375","464.84375","464.84375"
"9961472","465.15625","465.15625","465.15625"
"9977856","463.828125","463.828125","463.828125"
"9994240","460.546875","460.546875","460.546875"
"10010624","462.578125","462.578125","462.578125"
"10027008","462.03125","462.03125","462.03125"
"10043392","461.875","461.875","461.875"
"10059776","465","465","465"
"10076160","465.234375","465.234375","465.234375"
"10092544","464.609375","464.609375","464.609375"
"10108928","465.625","465.625","465.625"
"10125312","464.296875","464.296875","464.296875"
"10141696","463.671875","463.671875","463.671875"
"10158080","463.984375","463.984375","463.984375"
"10174464","464.21875","464.21875","464.21875"
"10190848","466.5625","466.5625","466.5625"
"10207232","468.90625","468.90625","468.90625"
"10223616","470.703125","470.703125","470.703125"
"10240000","471.015625","471.015625","471.015625"
"10256384","470.859375","470.859375","470.859375"
"10272768","469.140625","469.140625","469.140625"
"10289152","468.046875","468.046875","468.046875"
"10305536","468.4375","468.4375","468.4375"
"10321920","467.890625","467.890625","467.890625"
"10338304","469.375","469.375","469.375"
"10354688","468.671875","468.671875","468.671875"
"10371072","469.453125","469.453125","469.453125"
"10387456","469.140625","469.140625","469.140625"
"10403840","467.734375","467.734375","467.734375"
"10420224","469.609375","469.609375","469.609375"
"10436608","468.4375","468.4375","468.4375"
"10452992","467.34375","467.34375","467.34375"
"10469376","467.5","467.5","467.5"
"10485760","466.328125","466.328125","466.328125"
"10502144","465.703125","465.703125","465.703125"
"10518528","467.03125","467.03125","467.03125"
"10534912","470","470","470"
"10551296","470.859375","470.859375","470.859375"
"10567680","473.828125","473.828125","473.828125"
"10584064","475.46875","475.46875","475.46875"
"10600448","475.625","475.625","475.625"
"10616832","473.828125","473.828125","473.828125"
"10633216","472.34375","472.34375","472.34375"
"10649600","469.609375","469.609375","469.609375"
"10665984","468.28125","468.28125","468.28125"
"10682368","469.453125","469.453125","469.453125"
"10698752","472.65625","472.65625","472.65625"
"10715136","475.15625","475.15625","475.15625"
"10731520","474.0625","474.0625","474.0625"
"10747904","471.484375","471.484375","471.484375"
"10764288","470.703125","470.703125","470.703125"
"10780672","468.203125","468.203125","468.203125"
"10797056","467.1875","467.1875","467.1875"
"10813440","466.875","466.875","466.875"
"10829824","467.109375","467.109375","467.109375"
"10846208","468.515625","468.515625","468.515625"
"10862592","471.328125","471.328125","471.328125"
"10878976","472.578125","472.578125","472.578125"
"10895360","471.796875","471.796875","471.796875"
"10911744","471.953125","471.953125","471.953125"
"10928128","470.78125","470.78125","470.78125"
"10944512","470.46875","470.46875","470.46875"
"10960896","469.6875","469.6875","469.6875"
"10977280","469.921875","469.921875","469.921875"
"10993664","473.046875","473.046875","473.046875"
